realweight,obsweight,athletic,practice
193.65282,222.34294,-7.0510321,0
149.76572,141.73627,3.2657928,3.8506818
119.76266,92.019966,-4.6997099,0
159.63271,173.2496,4.2104549,7.7406383
178.84639,185.88739,-1.3356789,0
177.37503,174.39134,-7.5261421,0
143.84926,159.12906,2.7035573,5.8473525
176.60616,126.6637,2.3684502,5.7888231
166.0274,196.24861,2.7357326,6.7437954
137.29196,136.80278,2.0255754,4.4627972
155.57149,145.35634,5.7303329,6.2404585
185.22086,174.76686,-4.4495544,0
161.63504,154.08424,-5.2916307,0
121.14615,128.43163,-1.3953984,0
153.26637,139.30536,7.4388537,8.3174314
122.06834,92.451447,7.3473501,10.459148
162.66551,180.53331,-2.876677,0
217.14394,194.49164,-.37331286,0
206.11165,182.48766,-.12403177,0
173.85432,191.25255,2.0651972,6.0998907
216.09079,260.01117,3.356261,4.833848
123.73189,125.93142,.24676737,0
164.33597,160.28769,1.9521562,0
233.99512,247.77931,-8.3247643,0
151.60229,132.6899,2.5514054,5.8320842
176.7962,174.0345,-5.1659298,0
208.23216,196.76389,-6.7593522,0
140.45065,163.29567,3.4237428,2.1200366
135.99222,117.21368,3.1144178,4.0969324
142.76514,102.89674,3.0037069,7.3436823
192.77065,207.76462,4.1348295,5.685514
134.85245,104.92686,8.2207279,11.984365
110.42035,84.115189,6.6392312,7.9882746
163.77672,135.79494,5.6285653,8.1829214
163.44585,169.38077,-3.2026224,0
165.77933,124.30495,2.5770836,.36935097
192.75092,179.47821,-1.9556026,0
158.60976,177.08308,1.0695379,0
173.79251,173.41084,4.5939398,9.297576
165.78481,223.33041,-1.2864245,0
154.98424,161.7905,4.1081176,6.909729
172.5668,156.01677,-5.7347445,0
148.85522,144.88849,-2.8165624,0
142.87239,114.35349,8.8993587,10.063
194.34514,178.50085,-.60430676,0
189.09917,168.60269,9.6974096,15.506111
167.11386,164.78351,3.4880457,5.7942953
115.95863,127.43819,3.0513387,1.5303562
149.48291,132.78618,3.7978127,6.5708284
207.6741,229.536,-7.3203125,0
162.21712,167.28546,3.0980093,6.0757542
149.17021,132.14076,1.7833946,.79422313
178.95612,190.14648,-3.4931588,0
165.29938,206.64153,-2.1020179,0
138.34462,156.30264,2.3306081,2.7282894
152.31807,133.21548,2.1060405,3.0474415
100.933,111.40088,7.1341381,8.6225681
145.28065,189.30559,4.9911575,9.4571791
167.30016,198.81557,5.5754199,9.3120117
149.32841,179.24823,5.1847968,7.9688015
171.49472,178.80199,-.60652792,0
160.91396,165.5786,3.9640381,3.4710104
172.82268,179.75429,7.6945791,12.127133
160.80511,179.09537,6.0380335,9.0590134
223.7018,206.8454,8.8703279,11.230326
206.66956,185.3927,1.2542135,3.7250516
190.69785,181.84262,-3.5904768,0
144.157,163.53325,2.1574037,1.6201171
179.37469,146.32216,3.5988479,6.0124402
142.82181,154.76155,1.2398149,3.9680629
192.0862,203.04207,-1.0450165,0
157.34843,162.11969,-.25524339,2.4501593
178.71997,190.82881,4.3390036,3.4464152
202.23114,229.57486,-3.7760568,0
166.83347,221.24573,4.5510607,6.9946141
142.57401,149.35469,2.5295422,0
178.08049,176.15446,-5.9169707,0
178.45543,214.38835,8.4126816,13.721355
176.35892,170.3271,-2.6951818,0
151.80974,127.91154,8.9959564,13.536781
108.65928,89.612076,2.0241218,2.7863576
189.74335,176.90689,-2.0978734,0
135.28094,129.45343,2.8679054,3.2313356
123.1405,123.42679,10.396106,13.481102
139.83401,163.50444,11.415104,18.124798
158.24533,141.2923,7.2965965,10.434463
142.1299,145.97591,10.099867,18.21851
106.49824,125.00473,7.1774035,11.534212
204.29483,186.7357,-.65401006,0
146.401,93.737755,2.4266872,2.7176013
179.3468,178.86392,-.36407277,0
191.17192,210.76904,-4.2021122,0
164.2466,158.04858,-5.4458947,0
233.54497,246.3313,-8.3920565,0
133.98978,126.48418,7.8550091,8.0364618
190.6761,188.62129,1.2253104,2.7240963
166.97357,155.6864,2.3268499,3.2095928
137.39516,154.75299,5.4875278,7.1497574
174.30623,160.33919,10.30169,15.111259
175.8344,182.71774,6.280808,5.6212425
172.25108,150.32765,-.69021976,0
134.72647,152.01813,.43343717,0
130.80721,97.480621,7.5263753,12.93215
177.54761,142.50467,4.7709794,6.956233
134.64388,146.68683,4.1652102,4.6052265
172.78513,170.17584,3.5134246,5.1115713
178.39281,179.77991,6.9338021,10.636095
179.46121,186.774,7.0110068,10.934847
153.0365,153.04083,3.9620514,7.301187
182.84413,169.59283,-.33987632,0
129.5097,136.14339,.010496473,1.04081
163.02814,142.04053,2.2848663,4.2154727
191.91896,235.87662,-3.8413794,0
126.30973,160.47406,-.63299143,0
145.71922,155.1393,-1.247539,0
176.89203,165.41095,-5.3879843,0
180.4406,156.6571,-3.2376957,0
160.9855,152.7744,5.0246887,9.7334585
175.99475,215.43047,-.84730279,1.9971311
185.03745,217.67627,2.4759085,4.9616547
159.92438,169.92491,5.1945972,3.8127441
157.36398,168.8969,5.3364763,5.8726006
159.28503,205.64139,3.0868654,4.7188249
196.50635,206.40732,-1.3912688,0
121.05547,110.4233,2.4817929,3.6686201
146.41739,148.72871,-5.0227022,0
170.25117,163.11485,-1.8495045,0
151.42488,147.45116,.13959785,3.184613
199.92059,164.62219,4.4481931,10.160874
135.59682,126.25726,7.6053185,8.8020258
170.43855,177.93085,-2.9879315,0
141.88916,150.84227,2.5639427,7.3143578
145.50725,136.42223,.47054538,1.3383061
186.11612,214.63953,3.556725,9.1257534
176.93318,153.46156,-.37825742,2.2838051
187.44975,189.95921,4.1664557,4.9139166
191.78804,167.53467,7.1115189,7.9209895
160.73592,193.06927,1.860162,1.7363715
158.31583,189.20679,-.32528383,0
133.24826,132.81796,2.0599444,3.1957741
144.63477,164.13435,1.0520108,0
174.24481,163.76358,3.753932,3.3955355
165.07906,192.34366,3.4490123,5.8300643
180.95392,183.49115,3.5049672,5.526382
187.16692,177.85548,4.6946692,7.2458048
220.5134,183.42702,6.890883,8.8364277
157.57898,130.62018,2.5620143,5.7049747
223.98993,195.12013,-1.5823295,0
113.37428,155.40793,3.5052402,3.2045712
196.67854,193.3685,-9.4173985,0
224.38913,229.75822,.96361107,3.0897431
180.57436,206.98392,-7.5785913,0
196.96727,213.43344,3.1389952,2.7182174
151.49855,169.38409,3.2628186,6.689486
147.22285,149.20638,1.2115083,5.7603121
139.78801,145.73216,-1.9354488,0
184.06606,180.08997,-2.3810976,0
164.5551,157.26427,-1.2782415,0
168.69684,156.68987,-7.7667189,0
103.13267,95.96431,-5.5115776,0
124.9492,122.9247,1.1356142,2.5579879
124.1613,118.66526,1.6910372,6.5887203
183.60289,165.00642,-1.0470822,0
129.69363,140.43237,10.105521,12.709375
184.09445,168.64383,4.914031,10.413246
138.38918,159.20082,7.3922939,13.28068
205.13998,193.07768,4.7425346,4.8564053
142.3537,152.34473,4.5181737,5.3375411
174.6949,197.91318,1.6288314,4.6726427
180.72501,168.16283,-.15381737,4.404799
149.10646,154.5694,1.7008356,1.3760917
118.43697,112.13407,-1.6702946,0
177.2536,204.81271,10.381507,17.178856
190.01395,190.41656,-1.5576365,0
153.11804,173.3378,4.2536373,7.089941
185.13715,165.08336,.89490706,3.1519425
164.17323,195.69882,6.3491845,9.8659382
133.0488,136.55389,5.1357336,9.2227373
159.83498,164.18782,-2.5041099,0
168.51183,184.17928,5.1227803,2.593919
167.84239,143.53717,-.93227619,0
184.61748,210.40173,3.5909793,4.6341829
181.35765,199.12544,2.6912646,7.5045671
163.01569,146.90332,-1.5288012,0
112.88617,118.22475,8.3234491,10.167909
139.19586,104.63576,.020198584,0
141.9025,140.81194,1.1423767,3.7912426
258.22153,290.39697,-4.622242,0
197.63953,180.99893,.43536738,2.1075194
100.33655,90.567413,10.167675,12.294342
196.53621,195.41405,-5.6355267,0
143.68013,116.97211,-.25896221,0
171.64426,180.61774,-3.1729598,0
203.60439,198.70335,.47585788,.097765297
184.05774,192.74239,-3.8897476,0
156.86382,135.24988,3.0561011,5.6550055
173.0912,179.92349,4.6678247,6.29568
202.7683,220.42833,5.3509059,9.1909246
157.66956,172.42499,2.6539738,6.9285083
142.05919,138.96849,2.8767478,6.3459444
225.92152,225.53249,-4.9691434,0
177.41159,165.36838,-11.715236,0
181.99197,205.09064,.74260455,0
144.49828,136.16727,.038543988,0
172.81999,181.39011,3.2885046,4.1352763
174.71245,148.66225,4.3264322,8.3653078
136.57614,170.17029,4.4922113,7.2970648
217.95465,197.92783,1.4663618,2.9579439
200.83405,152.93968,-3.6877048,0
203.81125,201.01563,11.178926,16.04162
176.37399,159.69374,-1.6200719,0
172.59285,191.89972,2.5103972,2.6671207
176.29987,204.98662,-10.579721,0
181.16714,178.89281,9.0683794,15.094855
184.80557,172.66478,-3.6447644,0
187.92851,175.51973,3.7149119,4.5264411
171.31633,208.76021,-1.2499148,0
186.62947,181.12482,5.1944718,11.261085
172.39214,183.0679,2.8368466,6.6316485
211.34395,194.37772,1.7318157,3.4925632
169.09251,182.36078,8.3447723,12.001604
144.71793,181.11493,4.1587434,5.4188714
173.11276,160.45129,4.4701147,3.9174829
126.83659,87.172562,2.2092047,.87569124
195.93866,163.82573,-5.5028677,0
201.11136,226.06491,-6.9419508,0
162.49876,175.46942,1.7128997,4.5896497
183.07555,183.7155,3.9116263,6.6888776
227.95703,248.84245,4.7244458,5.625474
184.00583,171.93886,-9.6602688,0
173.76025,178.17183,-2.9096117,0
180.68942,159.7749,-4.9855857,0
185.72566,202.79855,-2.7644587,0
186.32835,192.64908,-4.5871115,0
165.28636,181.0228,-4.2802815,0
165.808,171.39372,7.0560603,11.311472
172.77242,164.13165,.44293836,0
149.16388,140.2446,4.1575317,10.599041
146.81764,154.14883,-1.6829522,0
223.88107,221.07681,-3.5609045,0
195.20314,167.2253,-.33115825,1.1206319
193.30655,181.20599,8.2673788,11.95094
236.53665,230.36674,-11.417409,0
173.88516,173.33826,3.0349231,6.8885231
163.576,157.78348,1.431419,1.2423221
220.61699,201.76279,-3.6433568,0
184.03949,189.29305,4.5843377,8.0380878
103.73393,88.193962,8.824091,12.719982
154.9704,164.03818,-3.0611062,0
179.74809,204.26617,-1.2417579,0
147.36467,164.46086,.44095463,5.3280368
126.30196,127.49642,2.5334492,7.916193
189.64572,195.51439,7.9463506,15.351864
186.65125,158.75143,9.7804575,15.600706
179.49632,189.08945,-3.2117779,0
200.11758,221.65912,-2.4360044,0
120.3186,81.667488,1.12078,.1863683
201.02237,197.21834,-.058962099,.14791346
215.40712,236.72546,1.3896744,1.2478955
172.00854,154.20541,4.0569897,6.2981381
196.57153,184.1257,-4.8132138,0
199.03842,213.96999,2.5969927,.67021126
238.33846,232.94272,1.5310299,2.5638442
192.97295,205.47119,2.3815899,3.8508632
142.25014,132.99065,7.078402,10.522033
154.0985,139.3681,6.8965368,9.2083302
190.18874,204.06779,-4.1852283,0
170.16884,167.37198,5.1950936,6.4398398
219.74236,240.41698,-3.3427281,0
172.47978,181.16187,10.230721,14.358994
209.53027,215.48148,3.4900095,1.8195386
159.35518,154.52187,3.5532675,2.6009779
178.65689,168.64418,2.2835867,3.9514658
163.71692,168.72014,.28744903,4.3018761
158.89619,147.12115,-.73386914,0
187.15581,185.72606,3.0873063,5.3945999
160.45163,154.21387,-2.5513444,0
205.13606,201.2551,-1.8617017,0
136.4774,152.35297,-1.2342128,0
145.63091,155.18828,5.303256,7.7580471
194.79852,167.67392,-1.6525196,0
138.82538,161.31073,3.1182263,4.5537829
108.77638,88.583328,-1.2005761,0
137.99934,157.9626,13.747494,22.598783
146.22072,125.97447,1.6499836,2.4090629
118.62697,100.12766,11.362578,15.136436
166.42239,164.36104,.45183918,3.1649177
174.6008,193.34532,-7.0846248,0
165.96738,148.37009,4.6888652,8.3511152
185.84589,198.39041,2.7127209,3.4948168
145.01723,141.62614,1.3249075,.55695337
151.60344,122.01798,2.8011749,4.9867401
166.22139,124.11749,7.3671303,13.050422
174.33492,223.22543,2.1224999,2.1246994
171.01852,165.22725,8.0463772,11.71683
165.32239,151.2359,3.6581686,9.9851017
106.22186,102.1974,.23617515,.76080358
184.88493,176.47592,5.2974048,5.7644825
155.08372,145.48502,-.67092311,0
206.85312,212.94598,2.6145165,5.5576797
172.72592,200.03104,5.1281633,10.37598
144.33479,167.88626,-5.6977739,0
183.46748,206.12325,-7.2577639,0
172.46213,174.5621,-12.100016,0
173.09634,166.79701,2.3418782,3.2902081
153.28566,154.10567,4.97895,3.915808
150.71278,162.3213,1.9273392,5.999229
238.11786,235.7713,3.7197585,1.6736975
182.82481,164.59265,-1.2618138,0
217.04518,170.20053,3.1566029,4.9015026
148.54443,163.70686,-.47663656,1.4082975
186.01553,182.08525,6.1998639,8.8658476
172.84901,191.67439,1.1541293,.5379501
182.67824,203.03387,-8.4593582,0
182.48604,179.81412,-2.7418566,0
153.18147,176.52823,2.6252987,5.1788578
181.50984,173.82277,.66178739,.49835244
166.3875,180.71426,-9.8345451,0
165.05215,166.99284,6.7126136,12.274898
149.99278,167.4527,8.5654116,12.974119
173.74228,152.50864,3.3379626,4.5705805
154.68166,173.42583,-3.4695835,0
170.073,185.37778,5.3452048,6.1029696
161.13356,166.55911,2.2388625,1.8624234
167.47678,168.14894,-2.6298056,.27423257
200.62698,209.23022,5.9248571,9.426302
195.17302,148.66158,1.8062056,3.1890237
162.02855,165.90134,2.117651,2.7410476
182.74236,184.16634,-2.2570488,0
148.75072,134.19675,6.3480902,7.609242
140.34212,118.11882,6.020699,13.413905
177.91718,154.03795,-1.0433748,0
177.92241,164.52252,-7.5071225,0
87.075165,91.054558,5.4874511,7.8738675
188.33841,206.76772,-5.6870713,0
122.72495,92.726715,8.7965536,15.623171
209.95601,220.14061,-2.8400795,0
182.85617,176.87939,2.2025583,.61021477
167.78671,184.66341,2.6766636,1.1798142
138.73244,165.07425,.9865666,8.2260389
144.73018,143.98186,2.4791448,5.310195
116.7462,145.19928,6.8356605,13.228666
158.61967,140.38921,3.232579,6.4039059
157.16905,147.3877,-3.9831436,0
134.87425,113.59837,-.48142856,1.5525492
123.85379,99.43042,8.7801847,12.896113
154.3418,220.41003,-1.1846879,0
161.57045,166.66888,4.5141029,5.9765291
167.67264,168.00572,-2.4785826,0
178.88113,187.58812,1.8353823,1.362728
119.03829,97.773743,8.0356998,12.07754
197.2308,182.84898,8.6563902,13.03989
215.80734,216.38815,-8.4151411,0
173.83701,156.17815,5.6815591,12.555859
137.28113,145.23947,6.9738083,12.327328
160.76389,169.05362,-1.000784,.81301653
108.32603,71.002975,6.7318697,11.355046
79.160492,59.767662,2.155021,4.3844147
183.71814,158.99466,11.869171,18.922726
119.43839,82.501732,6.6354604,8.6475735
188.19864,186.37024,8.3885489,13.097516
191.86998,190.67087,-.60419124,.43365473
164.7375,136.18924,5.2849278,5.8846517
184.70592,187.85217,4.7192378,3.7386405
173.47975,136.16931,-6.5823965,0
153.87091,159.7903,4.1963463,7.8758574
188.6664,219.80786,10.515283,12.433372
148.95403,112.5622,-3.0340016,0
157.5625,175.688,-4.9510665,0
133.38246,154.948,4.4595175,6.4795589
139.93338,161.20258,8.1936111,13.585911
192.07021,216.30493,5.3071604,6.6111622
153.24716,146.14058,-.94995409,0
167.201,161.98596,3.0877128,4.3694234
177.06273,189.26808,5.4735403,10.37687
148.24332,169.3788,-.78438395,0
101.82639,74.360443,5.9334698,11.007207
148.27849,170.3322,-1.5922587,0
98.737976,107.7018,4.1242604,4.8454523
94.971634,64.095543,6.8288159,10.410456
165.04153,175.19052,5.7062783,11.07821
147.22185,165.57005,8.0441227,11.841336
232.13029,229.9127,5.9082446,12.027822
140.18396,100.23434,6.1395936,13.004262
145.83607,151.29912,7.928606,13.437963
160.32034,160.97977,-2.660989,0
120.86161,96.606178,3.3924694,6.0953021
135.9585,141.95535,9.0759344,13.035555
147.85464,188.05368,2.1491659,3.2299814
202.23883,220.35539,8.7046099,8.7086973
125.62592,134.21317,-10.045321,0
130.9295,148.97137,-2.7146361,0
167.05904,197.93967,4.1099944,1.515146
207.235,193.84428,-2.153775,0
163.74593,141.34267,1.2436432,0
162.5442,184.37819,-.28498492,1.0546378
138.69514,144.18898,3.7999971,7.8058524
153.47499,176.60486,-13.571683,0
163.03912,136.64546,2.349699,5.4225602
179.45268,189.03551,10.816525,17.173014
99.238686,95.345589,6.6881299,15.198347
161.12,145.23621,-2.4597063,0
177.59727,199.38857,.086211324,0
174.9101,165.72736,3.9675944,6.0449948
132.33716,148.64326,-5.8210702,0
126.60759,128.14503,11.066277,15.826574
134.37743,129.71515,3.6438074,4.1309013
127.86904,112.65272,.27986011,.39031139
111.34837,102.40723,1.4582131,2.5002193
190.1936,170.21585,5.4708095,5.8196378
158.27538,195.35062,-2.1890588,0
215.68301,218.91608,-.67273015,0
227.41718,228.51727,-6.0570211,0
150.01828,130.19232,9.1587839,12.407222
174.27573,159.6962,-6.4312949,0
151.05106,140.01547,-5.0839829,0
150.39774,182.62419,1.9479699,2.1010878
120.99668,97.227165,5.6906199,6.6954985
185.27242,177.0686,-11.264974,0
104.82944,104.6727,7.4332089,9.7139807
176.63725,193.82384,15.849326,24.475542
207.85562,232.33517,-.58938533,0
162.13075,155.98727,6.749361,8.1242228
210.53314,201.03127,-6.8948193,0
182.23671,186.14314,5.8477812,8.5421028
179.30479,177.37483,3.4596016,5.2096853
242.336,233.4856,2.0127344,3.9093418
235.07292,238.36725,-2.7013881,0
144.63913,154.46265,2.173342,1.7570485
91.756126,85.615158,15.480728,24.14501
156.41928,153.51978,1.6885115,6.0576181
137.83801,182.082,.9653753,4.8429022
190.47778,182.15845,5.0159254,8.713398
159.35895,150.66925,1.7269068,1.3327477
165.44791,152.22542,7.4959908,11.322333
188.14357,204.27983,9.0601139,12.878142
122.03318,143.94836,11.991412,18.582672
103.83588,29.503593,14.038565,19.619343
159.09296,166.53365,2.9229448,2.3052089
146.24692,128.17213,.89979255,2.7450879
198.94711,218.04527,-1.8240805,0
131.9948,134.42195,2.4534609,2.6091006
211.25658,183.05107,-7.7434578,0
157.79434,144.67192,11.926134,16.999008
148.82095,172.87283,7.3829365,10.82911
190.55489,175.9649,1.4310157,1.8882555
166.82396,169.80266,.73771936,4.6268239
249.00197,229.44096,-1.1242929,0
192.34882,192.94185,1.8300815,4.0142245
230.71907,199.68776,-5.011034,0
242.38881,258.14728,4.802166,9.418911
173.19066,172.53397,-4.0471778,0
119.19306,92.577087,2.574542,4.5508852
171.17847,150.66992,-6.9980607,0
163.31732,128.40994,-2.9272473,0
195.54578,178.14711,5.8734307,6.4224777
190.25854,211.59235,-6.2642827,0
172.27377,191.00034,-.57755083,.28503054
188.3555,179.92224,-1.6638334,0
177.49022,196.02707,-2.3853793,0
159.32553,171.49736,1.0861903,0
139.34651,138.02338,10.850333,15.127389
155.17973,143.14822,-.39041609,0
178.18594,191.99124,-8.7438478,0
207.99963,194.35544,7.5220895,10.895029
184.56583,170.96611,4.6908631,8.8084459
180.00638,192.08905,-3.1121478,1.0149796
157.66656,124.31918,-2.7325943,0
106.61449,94.644218,12.518196,18.01087
212.45769,203.26584,-4.744452,0
135.55046,139.51369,3.6516957,7.7596183
149.99887,157.49612,1.3444234,4.3071027
150.81084,153.4888,.60528463,0
124.87388,110.43448,7.0447998,11.261445
162.91631,148.16251,4.1166797,8.2250328
163.79442,174.00447,-2.9412353,0
198.86024,194.62833,-1.5123546,0
101.65285,75.682983,4.912209,5.6295905
92.723129,98.772949,5.7067709,8.0928993
189.84749,188.60405,-.30711013,0
214.09923,191.32645,2.7445745,1.9968027
87.994057,67.550087,-5.043129,0
198.30844,194.8924,2.9327018,4.0584965
98.609993,131.95561,5.2403159,7.194283
173.70615,186.98106,-7.439106,0
148.16818,122.9845,5.7966661,9.909976
220.11047,243.91254,3.70367,4.7233791
173.79915,179.45296,2.8344171,4.5456991
148.36388,159.8412,-1.4586921,0
138.21075,108.62818,-1.8667011,0
163.59517,166.77411,-.23995009,0
183.58255,203.33034,5.6443715,10.203323
232.55014,231.79951,-11.327565,0
167.77922,190.21762,-.54869646,0
131.80545,122.65109,2.018352,3.8795574
135.4269,101.40974,3.823694,8.0684977
145.78429,140.35403,.89321715,.32462281
140.09818,153.47879,-3.7789361,0
166.53365,141.02083,3.16907,.41357258
132.87143,145.55766,10.748106,16.458675
104.47959,128.20215,11.527063,17.294798
129.16624,121.03503,8.7308531,13.89676
165.06424,170.81961,3.1930704,3.0614896
194.48451,231.34778,2.9798179,4.9860115
158.74846,165.72607,-.80847162,0
174.30646,190.11182,9.2296419,13.006362
176.80817,191.72159,-2.0457284,0
144.38712,128.0844,-3.9482939,0
161.55959,157.98518,5.1771569,6.3586578
176.89426,181.89519,-2.2661524,0
123.67102,132.46518,3.4779148,6.9803853
165.01103,128.47458,-1.9975251,0
103.5354,83.256744,8.1839485,14.571219
219.41884,221.12137,-7.0357914,0
142.76636,155.75703,5.4551682,5.9311318
165.00684,162.91855,1.2054172,4.3281264
157.00282,154.26685,4.3193974,6.4656024
204.28078,226.72165,-9.189043,0
141.58017,162.08833,11.234962,17.429079
131.46245,121.35983,14.483315,23.540199
142.77759,166.79956,.52879441,2.9693727
180.11745,186.31996,3.1454632,5.6928897
171.22208,165.25627,-6.2277269,0
191.59195,186.54211,-5.0371213,0
147.59378,127.36284,1.187041,.85568011
196.60878,221.74695,5.1681399,6.8104467
149.63081,163.64307,3.0269356,3.7436309
145.48775,152.07841,3.4771535,3.6300478
240.26305,214.04358,-7.5200434,0
192.58243,178.54027,5.0896883,11.151442
171.54282,206.38551,4.4197807,8.3846359
178.57976,194.10951,7.3482475,14.20598
167.75647,160.40227,-5.4446497,0
180.95818,184.05305,-2.4160194,0
166.50587,166.63429,.11151342,0
141.72456,154.25362,-3.8382123,0
204.37816,204.28459,.95681119,3.9030044
147.45033,150.64932,4.816083,3.5877457
148.25032,135.15178,5.6048784,9.6954613
132.73576,162.85472,-3.1804907,0
217.38181,222.68016,-3.4876513,0
199.76031,196.41331,6.9642649,8.0996141
171.94186,189.55809,1.3338917,3.0984707
123.66514,92.628777,-9.3475275,0
159.13336,134.06708,9.8025808,13.993773
154.79243,131.72221,-.68323147,0
176.7262,181.33437,5.6826878,11.231951
164.29692,175.86179,.49533519,0
131.17967,114.67067,-5.2648802,0
210.53429,198.80014,-1.224735,0
179.35362,159.98822,-3.9573915,0
169.82356,146.84129,-.97730482,1.9535469
114.84542,127.04552,5.3581157,7.4348083
234.34253,245.19891,-9.5435123,0
121.72879,123.15005,-.0066811084,1.9565227
129.04961,135.21454,5.5170722,5.6150527
170.62871,141.29553,-10.079139,0
167.49626,163.15564,7.091466,10.609291
163.18291,178.94254,2.4713445,5.8039584
118.28441,134.15109,15.792827,28.273405
159.84245,134.10548,-.4076438,0
147.36748,138.66359,10.029493,17.435259
105.92058,117.84729,12.452657,18.355604
131.28091,163.86668,1.916248,2.5108244
154.16818,140.37953,-4.4044909,0
216.53659,224.98203,-7.8497634,0
146.54405,166.02831,5.8711491,10.705814
147.01149,189.29382,6.3876843,7.8144355
144.9772,151.35388,-4.9837065,0
194.93259,192.60263,-.66533071,2.5993319
211.52344,223.55658,-2.8232534,0
153.94481,159.7339,3.8294559,5.1011438
176.34967,201.16911,10.72801,17.939674
194.88309,193.90396,2.3529243,7.2782154
162.27473,159.91655,-.87532699,0
211.04849,164.71323,-3.091327,0
203.00897,193.18362,-1.334101,0
139.0153,150.99922,2.4892731,3.7021112
206.45573,213.04608,-6.3849821,0
139.50305,169.20168,6.1304975,6.8780499
148.97852,140.99089,8.7192059,11.532902
179.1048,185.51363,6.5642281,7.4885211
194.75154,172.3591,1.4188153,1.6215149
209.01309,188.04146,-3.9009655,0
157.30437,170.94522,6.6462016,10.5473
155.47414,166.52255,3.2310314,4.3767715
171.01828,153.33598,3.3561234,3.3996301
135.39267,136.74031,8.0502377,11.171538
108.31663,105.07187,2.9912529,2.3664191
157.16002,166.30354,-3.1208317,0
147.23032,122.99765,7.6361861,10.37374
157.5601,162.19231,.32028049,2.728519
176.6403,188.26939,-1.5436232,0
107.87315,75.616165,5.2466807,8.4258022
195.60068,156.91248,1.5396464,1.8970873
136.74036,138.00432,6.0729313,9.3326807
118.56842,137.85031,.52609253,3.4008942
131.56796,130.66347,1.4763683,2.3726203
140.15063,172.08524,.68921888,1.7302845
232.86728,233.93246,-14.985084,0
133.05232,135.58246,1.8647717,4.5819974
183.75354,185.435,-1.482977,1.6845982
165.93622,138.11008,-.19803183,2.1877866
197.32076,188.01578,.13058753,0
151.03169,168.70346,1.5621145,3.8030953
137.51091,114.29706,7.5103588,11.729246
150.43976,136.17592,1.2478455,0
187.48271,199.08261,9.2789278,15.375232
179.75731,166.13203,1.3820567,4.3899498
196.36227,210.52467,-.24145755,0
123.76363,122.48747,-2.7961462,0
108.30147,123.85877,2.3823271,1.1339403
172.33936,165.22954,.66036206,.25048116
147.76045,165.94308,1.5904274,2.3689275
159.99275,173.42538,-4.7612224,0
176.93211,206.0836,10.144271,15.728934
176.41965,213.43753,1.1582711,.7708267
179.2225,178.54541,1.4400585,3.681998
214.0621,193.58696,-3.7514679,0
152.51619,175.20375,3.8991945,5.9583993
146.32033,116.64662,5.2412105,9.0083771
132.56508,153.1618,6.4239874,9.061409
147.70522,98.482529,-5.8581362,0
168.56366,156.05281,-4.4574094,0
147.6963,160.35294,1.5366195,5.1037693
173.12505,190.62315,11.232769,20.940428
189.9417,240.89369,-9.3226128,0
151.74081,145.4939,3.2994506,4.4771805
166.52142,139.36497,2.0197558,3.1027672
179.21638,219.28865,9.1082363,13.272771
177.09244,144.62338,-3.1875567,0
156.80008,192.96039,6.641542,9.621664
165.93605,165.70255,6.7389288,8.7488575
165.44514,135.52733,.52209413,3.5447979
178.79329,173.8286,-4.6132722,0
