respnum,com3,epht3,finalwt,finalwt2,env_con,male,hlthprob,inc,inclog,educat
100046,(4),(4) extremely concerned,284.02362,.46944174,2.2,0,0,92500,11.434964,20
100048,(5) very strongly a part of the community,(3) very concerned,107.58493,.17781922,1.9090909,1,,60000,11.0021,16
100049,(3) in the middle,(2) somewhat concerned,231.88333,.3832629,2.3636363,0,1,60000,11.0021,13
100050,(3) in the middle,(2) somewhat concerned,271.54825,.44882211,3,0,0,,,11
100051,(3) in the middle,(2) somewhat concerned,241.14481,.39857051,3.909091,1,0,32500,10.388995,13
100052,(3) in the middle,(1) not at all concerned,857.32758,1.4170138,3.1111112,1,0,32500,10.388995,8
100053,(4),(1) not at all concerned,42.427872,.070125908,3.8181818,0,0,2500,7.8240461,12
100054,(3) in the middle,(2) somewhat concerned,119.01213,.19670638,3.8181818,0,0,50000,10.819778,12
100055,(3) in the middle,(2) somewhat concerned,1115.3087,1.8434117,2.0999999,0,0,17500,9.7699566,10
100056,(3) in the middle,(1) not at all concerned,284.87796,.47085384,3.7777777,0,0,50000,10.819778,12
100057,(4),(3) very concerned,281.92322,.46597016,3.2222223,0,0,17500,9.7699566,13
100058,(3) in the middle,(2) somewhat concerned,158.61078,.26215607,3.1111112,0,,70000,11.156251,13
100059,(3) in the middle,(2) somewhat concerned,1372.7534,2.2689233,3.6363637,0,0,22500,10.021271,12
100060,(3) in the middle,(2) somewhat concerned,163.07173,.26952925,3.1818182,0,0,40000,10.596635,13
100061,(3) in the middle,(2) somewhat concerned,828.62299,1.36957,2.3,1,0,,,12
100062,(5) very strongly a part of the community,(3) very concerned,948.8606,1.5683019,4,1,0,125000,11.736069,16
100063,(4),(4) extremely concerned,215.89711,.35684046,1.3636364,1,0,80000,11.289782,16
100064,(4),(2) somewhat concerned,5181.8062,8.5646267,3.6363637,1,0,60000,11.0021,14
100065,(3) in the middle,(2) somewhat concerned,942.86047,1.5583847,2.8181818,1,0,50000,10.819778,14
100066,(4),(2) somewhat concerned,482.28961,.79714102,3.2727273,1,0,80000,11.289782,20
100067,(3) in the middle,(2) somewhat concerned,686.37671,1.1344616,3.8181818,0,0,,,16
100068,(3) in the middle,(2) somewhat concerned,5086.4819,8.4070721,3,1,0,60000,11.0021,12
100069,(5) very strongly a part of the community,(3) very concerned,244.39471,.40394205,2.2727273,0,0,70000,11.156251,20
100070,(2),(2) somewhat concerned,567.12885,.93736553,2.7272727,0,1,17500,9.7699566,12
100071,(5) very strongly a part of the community,(2) somewhat concerned,331.67862,.54820722,1.7,0,0,40000,10.596635,16
100072,(5) very strongly a part of the community,(4) extremely concerned,1956.0259,3.2329712,4,0,1,22500,10.021271,13
100073,(4),(2) somewhat concerned,143.14079,.2365869,3.6363637,1,0,50000,10.819778,13
100074,(5) very strongly a part of the community,(4) extremely concerned,139.3596,.23033723,3.2727273,1,1,112500,11.630709,13
100075,(4),(2) somewhat concerned,1100.6655,1.8192091,3.6363637,0,0,,,12
100076,(2),(1) not at all concerned,36.565624,.060436629,3.909091,0,0,27500,10.221941,13
100077,(5) very strongly a part of the community,(2) somewhat concerned,138.48167,.22888617,2.8181818,0,0,17500,9.7699566,10
100079,(4),(3) very concerned,92.034187,.15211654,2.1818182,0,1,70000,11.156251,16
100080,(5) very strongly a part of the community,(2) somewhat concerned,845.76965,1.3979105,2.5454545,0,0,22500,10.021271,12
100081,(4),(2) somewhat concerned,117.82109,.19473781,2.909091,0,1,50000,10.819778,12
100082,(3) in the middle,(2) somewhat concerned,59.581039,.098477118,3.5,0,1,70000,11.156251,14
100083,(5) very strongly a part of the community,(4) extremely concerned,92.169479,.15234016,3.7272727,0,0,,,20
100084,(5) very strongly a part of the community,(3) very concerned,1513.5548,2.5016434,3.090909,0,1,40000,10.596635,12
100085,(2),(3) very concerned,170.69392,.28212741,2.4545455,0,1,2500,7.8240461,12
100086,(2),(1) not at all concerned,1185.4269,1.9593049,3.4545455,1,0,125000,11.736069,20
100087,(5) very strongly a part of the community,(2) somewhat concerned,360.19513,.59534001,1.8,0,0,17500,9.7699566,13
100088,(5) very strongly a part of the community,(2) somewhat concerned,432.34106,.71458471,3.2727273,1,0,32500,10.388995,13
100089,(3) in the middle,(4) extremely concerned,657.51282,1.0867546,2.3636363,0,1,22500,10.021271,12
100090,(4),(4) extremely concerned,4499.4878,7.4368725,1.0909091,1,1,60000,11.0021,16
100091,(4),(2) somewhat concerned,193.36945,.31960613,3.3636363,0,0,40000,10.596635,14
100092,(3) in the middle,(2) somewhat concerned,49.921677,.082511865,2.6666667,0,0,,,11
100093,(1) not at all a part of the community,(4) extremely concerned,1077.9478,1.7816604,3.1818182,0,0,22500,10.021271,20
100094,(4),(2) somewhat concerned,263.91415,.43620428,2.9000001,1,1,22500,10.021271,16
100095,(3) in the middle,(2) somewhat concerned,125.66286,.20769891,2.25,0,1,,,16
100096,(5) very strongly a part of the community,(4) extremely concerned,354.88797,.58656818,1.6363636,1,1,40000,10.596635,13
100097,(5) very strongly a part of the community,(1) not at all concerned,1680.9421,2.7783058,2.7272727,1,0,112500,11.630709,13
100098,(4),(2) somewhat concerned,1431.875,2.3666408,2.8,0,0,92500,11.434964,16
100099,(1) not at all a part of the community,(2) somewhat concerned,4490.3418,7.4217553,3.3,1,0,27500,10.221941,11
100100,(3) in the middle,(3) very concerned,3075.8728,5.0838842,3.6363637,1,0,32500,10.388995,12
100101,(4),(2) somewhat concerned,1485.8381,2.4558327,2.6363637,1,0,80000,11.289782,12
100102,(3) in the middle,(3) very concerned,430.78064,.71200562,2,0,1,92500,11.434964,20
100103,(2),(1) not at all concerned,1344.0757,2.2215238,3.5999999,1,0,22500,10.021271,16
100104,(4),(1) not at all concerned,31.550699,.052147828,2.8181818,0,0,17500,9.7699566,12
100105,(5) very strongly a part of the community,(1) not at all concerned,388.66132,.64238971,4,1,0,125000,11.736069,14
100106,(5) very strongly a part of the community,(2) somewhat concerned,919.46997,1.5197242,2.5454545,0,0,50000,10.819778,12
100107,(3) in the middle,(3) very concerned,192.85815,.31876105,2.1818182,0,1,50000,10.819778,12
100108,(4),(4) extremely concerned,362.43359,.59903979,2,1,1,50000,10.819778,16
100109,(3) in the middle,(2) somewhat concerned,80.1819,.13252676,3.4545455,1,0,60000,11.0021,12
100111,(4),(2) somewhat concerned,3137.9744,5.1865273,3.3333333,1,0,60000,11.0021,16
100112,(5) very strongly a part of the community,(2) somewhat concerned,190.94646,.31560135,3.3636363,0,0,13750,9.5287943,14
100113,(3) in the middle,(2) somewhat concerned,225.88754,.37335289,2.9000001,0,0,32500,10.388995,12
100114,(5) very strongly a part of the community,(1) not at all concerned,289.28723,.47814158,3.8181818,0,0,60000,11.0021,14
100115,(5) very strongly a part of the community,(3) very concerned,573.99066,.94870692,2.2727273,0,0,,,12
100116,(3) in the middle,(2) somewhat concerned,2630.6943,4.3480811,3.0999999,1,0,70000,11.156251,12
100117,(4),(2) somewhat concerned,5000,8.2641325,2.3636363,1,0,17500,9.7699566,13
100118,(3) in the middle,(2) somewhat concerned,737.47888,1.2189246,2.375,0,1,,,12
100119,(5) very strongly a part of the community,(2) somewhat concerned,116.31981,.19225645,3.2727273,0,0,32500,10.388995,12
100121,(4),(3) very concerned,2340.241,3.868012,2.7272727,0,0,40000,10.596635,12
100122,(1) not at all a part of the community,(4) extremely concerned,691.4978,1.1429259,3.3636363,0,0,40000,10.596635,12
100123,(2),(4) extremely concerned,1279.45,2.1147087,2.3,0,1,2500,7.8240461,12
100126,(4),(2) somewhat concerned,154.58888,.2555086,2.4545455,0,0,60000,11.0021,16
100128,(5) very strongly a part of the community,(3) very concerned,263.54037,.43558651,1.3636364,0,1,11250,9.3281231,12
100130,(2),(2) somewhat concerned,80.430779,.13293812,2.5555556,0,0,22500,10.021271,12
100131,(3) in the middle,(2) somewhat concerned,385.22882,.63671637,2.8181818,1,0,13750,9.5287943,11
100132,(4),(2) somewhat concerned,80.430779,.13293812,3.8181818,0,1,60000,11.0021,12
100133,(4),(3) very concerned,217.59447,.35964587,3,0,1,40000,10.596635,12
100134,(3) in the middle,(2) somewhat concerned,362.85007,.59972817,3.7272727,1,1,80000,11.289782,16
100135,(5) very strongly a part of the community,(1) not at all concerned,178.76199,.29546255,4,0,0,,,10
100137,(5) very strongly a part of the community,(3) very concerned,99.567734,.16456819,2.8888888,0,1,70000,11.156251,20
100138,(4),(2) somewhat concerned,112.46659,.18588775,2.7272727,0,0,70000,11.156251,12
100139,(4),(2) somewhat concerned,563.84644,.93194032,2.5555556,0,0,,,12
100140,(5) very strongly a part of the community,(2) somewhat concerned,124.60285,.20594689,3.5454545,1,,40000,10.596635,13
100141,(3) in the middle,(2) somewhat concerned,252.03032,.41656238,2.1818182,0,0,60000,11.0021,12
100142,(5) very strongly a part of the community,(3) very concerned,2863.75,4.7332816,2.7272727,0,1,22500,10.021271,11
100143,(2),(3) very concerned,203.23529,.33591267,1,1,0,,,12
100144,(2),(4) extremely concerned,281.24988,.46485722,2.0999999,0,1,50000,10.819778,11
100145,(4),(3) very concerned,272.43661,.45029044,2.5454545,0,0,80000,11.289782,16
100146,(3) in the middle,(1) not at all concerned,771.07739,1.2744571,3.8181818,1,0,80000,11.289782,13
100147,(2),(1) not at all concerned,491.34988,.81211609,3.909091,1,0,40000,10.596635,16
100149,(5) very strongly a part of the community,(2) somewhat concerned,737.47888,1.2189246,2.9000001,0,0,17500,9.7699566,10
100150,(3) in the middle,(3) very concerned,181.42503,.29986408,2.3636363,1,0,60000,11.0021,14
100151,(4),(2) somewhat concerned,176.49997,.29172382,3.7,0,0,27500,10.221941,12
100152,(3) in the middle,(3) very concerned,451.10019,.74559033,2.8571429,0,0,,,13
100153,(3) in the middle,(2) somewhat concerned,2508.385,4.145925,3.1818182,1,0,60000,11.0021,20
100154,(4),(1) not at all concerned,167.0475,.27610052,3.125,0,0,,,14
100155,(2),(1) not at all concerned,1022.1347,1.6894113,3.090909,0,0,125000,11.736069,16
100156,(1) not at all a part of the community,(1) not at all concerned,164.01169,.27108285,4,0,0,32500,10.388995,12
100157,(3) in the middle,(3) very concerned,244.39471,.40394205,2.2727273,0,1,32500,10.388995,14
100158,(4),(2) somewhat concerned,176.14948,.29114452,3.5454545,0,0,60000,11.0021,16
100159,(4),(2) somewhat concerned,115.34441,.19064428,2,1,0,32500,10.388995,10
100161,(4),(3) very concerned,1259.2319,2.0812919,2.4545455,0,1,40000,10.596635,16
100162,(3) in the middle,(2) somewhat concerned,153.27779,.25334159,2.3636363,0,0,70000,11.156251,13
100163,(4),(2) somewhat concerned,175.7254,.2904436,3.3636363,0,0,50000,10.819778,12
100164,(3) in the middle,(2) somewhat concerned,77.162498,.12753621,3.2727273,0,0,13750,9.5287943,13
100165,(5) very strongly a part of the community,(2) somewhat concerned,1294.4967,2.1395783,3,0,0,125000,11.736069,20
100166,(4),(2) somewhat concerned,1779.4037,2.9410455,3,1,0,80000,11.289782,13
100167,(4),(2) somewhat concerned,381.22198,.63009375,3.3636363,1,0,11250,9.3281231,12
100168,(3) in the middle,(3) very concerned,39.471016,.065238737,3.7272727,0,0,50000,10.819778,12
100170,(4),(2) somewhat concerned,217.59447,.35964587,2.8181818,0,0,92500,11.434964,12
100171,(5) very strongly a part of the community,(3) very concerned,56.233295,.092943877,1.6363636,0,1,125000,11.736069,16
100172,(3) in the middle,(3) very concerned,418.11111,.69106513,1.3636364,0,0,40000,10.596635,12
100173,(3) in the middle,(2) somewhat concerned,471.11499,.77867126,2.1818182,1,1,32500,10.388995,13
100174,(5) very strongly a part of the community,(2) somewhat concerned,668.97961,1.1057072,1.875,0,1,,,13
100175,(5) very strongly a part of the community,(2) somewhat concerned,84.307487,.13934563,3.5555556,0,0,,,20
100176,(5) very strongly a part of the community,(1) not at all concerned,100.6366,.16633484,4,0,0,50000,10.819778,12
100177,(3) in the middle,(2) somewhat concerned,504.30991,.83353674,3.909091,0,0,70000,11.156251,13
100178,(3) in the middle,(1) not at all concerned,1302.2441,2.1523836,3.3636363,0,0,80000,11.289782,12
100179,(4),(2) somewhat concerned,557.27728,.92108262,3.8181818,0,0,,,12
100180,(2),(3) very concerned,901.92212,1.4907207,2.1818182,1,0,70000,11.156251,14
100181,(3) in the middle,(2) somewhat concerned,1891.0547,3.1255853,2.909091,1,0,32500,10.388995,12
100182,(5) very strongly a part of the community,,276.06329,.4562847,3.6363637,1,0,32500,10.388995,12
100183,(4),(4) extremely concerned,2023.3779,3.3442924,2.8181818,0,0,70000,11.156251,12
100184,(2),(4) extremely concerned,151.86581,.25100783,1.5,1,1,32500,10.388995,13
100185,(1) not at all a part of the community,(2) somewhat concerned,49.121338,.081189044,2.7272727,0,1,,,11
100186,(5) very strongly a part of the community,(2) somewhat concerned,69.313728,.11456355,2.090909,0,1,,,12
100187,(2),(1) not at all concerned,287.1871,.47467041,4,0,0,,,16
100189,(5) very strongly a part of the community,(4) extremely concerned,526.13629,.86961198,4,1,0,125000,11.736069,20
100190,(5) very strongly a part of the community,(2) somewhat concerned,1364.5238,2.255321,4,1,0,17500,9.7699566,12
100191,(4),(2) somewhat concerned,3762.5774,6.2188873,2.090909,1,0,50000,10.819778,14
100194,(3) in the middle,(3) very concerned,5000,8.2641325,1.5454545,1,1,60000,11.0021,14
100195,(3) in the middle,(2) somewhat concerned,123.13661,.20352344,2.5555556,0,1,13750,9.5287943,14
100197,(3) in the middle,(2) somewhat concerned,648.38593,1.0716693,3.3636363,1,0,11250,9.3281231,13
100199,(3) in the middle,(1) not at all concerned,1708.0516,2.8231127,2.7272727,1,0,40000,10.596635,14
100200,(3) in the middle,(3) very concerned,115.7571,.19132639,3.5454545,0,,11250,9.3281231,12
100201,(4),(3) very concerned,526.02948,.86943537,2.7272727,0,1,27500,10.221941,13
100202,(3) in the middle,(3) very concerned,1838.9399,3.0394485,3.6363637,0,1,27500,10.221941,12
100203,(5) very strongly a part of the community,(3) very concerned,248.21733,.41026017,2.909091,1,0,22500,10.021271,14
100204,(5) very strongly a part of the community,(2) somewhat concerned,3018.9634,4.9898224,3,0,0,,,20
100205,(5) very strongly a part of the community,(2) somewhat concerned,67.502602,.11157008,3.909091,0,0,13750,9.5287943,12
100207,(3) in the middle,(3) very concerned,491.35864,.81213051,2.1818182,1,1,50000,10.819778,14
100209,(3) in the middle,(3) very concerned,268.84308,.44435093,2.1666667,0,1,22500,10.021271,16
100210,(4),(2) somewhat concerned,1247.3809,2.0617042,3.8181818,0,0,,,12
100211,(4),(3) very concerned,80.312088,.13274194,3.1818182,0,0,112500,11.630709,14
100212,(2),(3) very concerned,147.0948,.24312218,3.3333333,0,0,22500,10.021271,12
100213,(3) in the middle,(1) not at all concerned,893.36444,1.4765763,3.5454545,1,0,17500,9.7699566,13
100215,(3) in the middle,(1) not at all concerned,182.84598,.30221266,3.5999999,1,0,,,12
100217,(4),(2) somewhat concerned,623.69043,1.0308521,1.9090909,0,0,70000,11.156251,20
100218,(5) very strongly a part of the community,(2) somewhat concerned,1209.3605,1.998863,3,1,0,32500,10.388995,11
100219,(4),(4) extremely concerned,175.94278,.29080287,2.9000001,1,0,,,13
100220,(5) very strongly a part of the community,(1) not at all concerned,91.074669,.15053062,4,0,0,40000,10.596635,14
100222,(5) very strongly a part of the community,(3) very concerned,192.40384,.31801015,2,0,0,,,16
100223,(2),(2) somewhat concerned,77.694672,.12841581,3.7272727,0,0,,,12
100224,(4),(3) very concerned,82.334473,.13608459,2,1,0,60000,11.0021,20
100225,(3) in the middle,(3) very concerned,700.36462,1.1575812,3.7,0,0,,,12
100226,(3) in the middle,(3) very concerned,95.513702,.15786758,3.6363637,0,0,6250,8.7403364,8
100227,(4),(2) somewhat concerned,332.63074,.54978085,3,0,0,27500,10.221941,13
100228,(2),(3) very concerned,218.64351,.36137977,3.3,1,1,,,11
100229,(3) in the middle,(2) somewhat concerned,1289.316,2.1310155,2.3333333,1,0,125000,11.736069,20
100230,(3) in the middle,(1) not at all concerned,145.84178,.24105115,3.7272727,0,0,17500,9.7699566,13
100231,(5) very strongly a part of the community,(2) somewhat concerned,386.83112,.63936472,,1,0,17500,9.7699566,8
100232,(3) in the middle,(3) very concerned,175.7254,.2904436,3.1111112,0,1,50000,10.819778,13
100233,(4),(3) very concerned,1115.3087,1.8434117,3.2727273,0,0,70000,11.156251,12
100234,(3) in the middle,(2) somewhat concerned,82.005844,.13554142,2.8571429,0,0,,,12
100235,(4),(3) very concerned,147.0948,.24312218,2.2857144,0,0,40000,10.596635,13
100237,(4),(3) very concerned,241.07159,.39844951,2.5,1,1,22500,10.021271,8
100238,(3) in the middle,(2) somewhat concerned,81.725502,.13507806,1.4,1,1,11250,9.3281231,13
100239,(4),(3) very concerned,3060.4358,5.0583692,3.5454545,0,1,17500,9.7699566,10
100240,(2),(2) somewhat concerned,109.75903,.18141262,2.3636363,1,0,60000,11.0021,14
100241,(3) in the middle,(3) very concerned,372.10162,.61501938,2.3,0,0,50000,10.819778,12
100243,(4),(3) very concerned,924.11639,1.527404,1.7272727,1,0,60000,11.0021,16
100244,(2),(3) very concerned,162.10846,.26793715,2.090909,0,0,8750,9.0768089,10
100245,(4),(3) very concerned,919.46997,1.5197242,2.1818182,0,1,70000,11.156251,11
100246,(3) in the middle,(2) somewhat concerned,115.34441,.19064428,3.4545455,1,0,70000,11.156251,16
100247,(3) in the middle,(2) somewhat concerned,563.84644,.93194032,3.7,0,0,27500,10.221941,13
100249,(3) in the middle,(3) very concerned,111.7911,.18477128,3,0,1,,,12
100250,(2),(1) not at all concerned,534.1936,.88292933,3.4444444,0,0,40000,10.596635,14
100251,(4),(4) extremely concerned,260.58115,.43069541,1.3636364,0,1,70000,11.156251,16
100252,(5) very strongly a part of the community,(2) somewhat concerned,379.16385,.62669206,3.3636363,1,0,60000,11.0021,14
100253,(3) in the middle,(2) somewhat concerned,749.33783,1.2385254,4,0,0,70000,11.156251,13
100254,(4),(2) somewhat concerned,326.48981,.53963101,3,0,1,8750,9.0768089,12
100255,(2),(2) somewhat concerned,137.86441,.22786593,3.5454545,1,0,6250,8.7403364,16
100256,(3) in the middle,(4) extremely concerned,139.06685,.22985336,1.8181819,1,1,8750,9.0768089,9
100257,(3) in the middle,(2) somewhat concerned,1779.4037,2.9410455,1.6363636,1,0,80000,11.289782,13
100258,(5) very strongly a part of the community,(2) somewhat concerned,58.159904,.096128225,3.0999999,0,0,6250,8.7403364,12
100259,(5) very strongly a part of the community,(1) not at all concerned,175.94278,.29080287,3.7272727,1,0,125000,11.736069,16
100260,(4),(2) somewhat concerned,79.917961,.13209052,2.6666667,0,0,,,
100261,(3) in the middle,(2) somewhat concerned,245.35416,.40552783,2.090909,1,0,,,16
100262,(4),(3) very concerned,143.59355,.23733521,3.4000001,0,1,60000,11.0021,20
100263,(3) in the middle,(2) somewhat concerned,192.1057,.31751737,3.7272727,1,0,22500,10.021271,13
100264,(4),(4) extremely concerned,2426.1462,4.0099983,3.1818182,0,0,8750,9.0768089,13
100265,(2),(3) very concerned,308.89597,.51055139,2.4545455,1,0,6250,8.7403364,12
100266,(4),(2) somewhat concerned,1985.6505,3.2819357,3.2727273,1,0,80000,11.289782,14
100267,(1) not at all a part of the community,(1) not at all concerned,326.39169,.53946882,3.4285715,0,0,112500,11.630709,12
100268,(3) in the middle,(3) very concerned,632.01385,1.0446092,2.7272727,1,0,2500,7.8240461,13
100269,(5) very strongly a part of the community,(2) somewhat concerned,1627.8051,2.6904793,2.7,1,0,17500,9.7699566,12
100270,(4),(2) somewhat concerned,1351.668,2.2340724,3.6363637,1,0,50000,10.819778,20
100271,(3) in the middle,(2) somewhat concerned,132.38512,.21880962,2.4545455,1,0,,,14
100272,(5) very strongly a part of the community,(3) very concerned,175.7254,.2904436,3.7272727,0,,,,16
100273,(2),(1) not at all concerned,95.473228,.15780067,3.375,0,0,6250,8.7403364,8
100274,(4),(2) somewhat concerned,293.43887,.48500356,3,1,1,,,13
100275,(3) in the middle,(1) not at all concerned,141.12212,.23325036,4,0,0,27500,10.221941,13
100276,(5) very strongly a part of the community,(4) extremely concerned,2508.385,4.145925,1.8181819,1,0,125000,11.736069,13
100277,(3) in the middle,(2) somewhat concerned,175.94278,.29080287,3.75,1,0,50000,10.819778,12
100278,(4),(2) somewhat concerned,1030.0753,1.7025357,2.5,0,0,92500,11.434964,13
100279,(5) very strongly a part of the community,(3) very concerned,2082.7476,3.44242,2.8,1,0,92500,11.434964,16
100280,(2),(2) somewhat concerned,1689.8933,2.7931004,3.1818182,1,0,50000,10.819778,12
100281,(3) in the middle,(3) very concerned,471.94891,.78004962,3.8181818,0,0,112500,11.630709,11
100282,(1) not at all a part of the community,(2) somewhat concerned,260.58115,.43069541,3.2727273,0,0,8750,9.0768089,12
100285,(4),(2) somewhat concerned,222.67226,.36803859,3.2727273,1,1,112500,11.630709,20
100286,(4),(2) somewhat concerned,59.506065,.098353192,2,0,0,17500,9.7699566,14
100288,(1) not at all a part of the community,(3) very concerned,164.20598,.27140397,2.5555556,0,0,,,12
100289,(1) not at all a part of the community,(2) somewhat concerned,989.82849,1.6360147,2.7272727,1,0,6250,8.7403364,12
100290,(5) very strongly a part of the community,(2) somewhat concerned,34.582912,.057159554,2.5454545,0,0,6250,8.7403364,12
100291,(3) in the middle,(3) very concerned,1015.5079,1.6784583,2.2727273,0,1,32500,10.388995,13
100292,(4),(4) extremely concerned,94.434357,.1560836,2.6363637,0,1,22500,10.021271,20
100293,(4),(4) extremely concerned,40.273609,.06656529,2.7272727,0,1,22500,10.021271,12
100295,(3) in the middle,(3) very concerned,165.83931,.27410361,3.0999999,0,1,,,14
100296,(3) in the middle,(2) somewhat concerned,976.68311,1.6142876,2.2727273,0,1,27500,10.221941,16
100297,(3) in the middle,(3) very concerned,737.47888,1.2189246,3.5,0,1,27500,10.221941,12
100298,(5) very strongly a part of the community,(2) somewhat concerned,64.282494,.1062478,3.1818182,0,0,32500,10.388995,11
100299,(4),(3) very concerned,384.80768,.6360203,3.2727273,0,1,22500,10.021271,12
100301,(2),(2) somewhat concerned,640.1123,1.0579945,2.090909,0,1,,,13
100302,(4),(2) somewhat concerned,371.51819,.6140551,4,0,0,,,12
100303,(4),(1) not at all concerned,534.51324,.8834576,2.6363637,0,0,,,13
100304,(4),(1) not at all concerned,78.942032,.13047747,4,0,0,22500,10.021271,12
100305,(1) not at all a part of the community,(2) somewhat concerned,794.00861,1.3123584,3.2,1,1,60000,11.0021,14
100307,(3) in the middle,(2) somewhat concerned,1384.8575,2.2889292,2.909091,1,0,112500,11.630709,14
100308,(5) very strongly a part of the community,(4) extremely concerned,220.13312,.36384183,2.3636363,0,0,50000,10.819778,13
100309,(2),(2) somewhat concerned,1450.2418,2.3969979,3.4545455,0,0,27500,10.221941,12
100311,(4),(3) very concerned,218.4352,.36103547,4,1,0,,,12
100312,(5) very strongly a part of the community,(3) very concerned,401.63928,.66384006,1.4545455,0,1,22500,10.021271,16
100314,(4),(3) very concerned,81.251686,.13429494,2.8181818,0,1,22500,10.021271,16
100315,(5) very strongly a part of the community,(2) somewhat concerned,1826.2676,3.0185032,2.8181818,1,0,70000,11.156251,16
100316,(3) in the middle,(3) very concerned,153.27779,.25334159,2.2727273,0,0,13750,9.5287943,16
100318,(3) in the middle,(3) very concerned,232.74319,.38468409,1.8181819,0,1,6250,8.7403364,13
100319,(3) in the middle,(3) very concerned,1320.6324,2.1827762,2.2727273,0,0,50000,10.819778,13
100320,(4),(2) somewhat concerned,153.27779,.25334159,3.3636363,0,0,60000,11.0021,14
100321,(2),(3) very concerned,389.40433,.64361775,1.1818181,0,0,17500,9.7699566,12
100322,(5) very strongly a part of the community,(2) somewhat concerned,1069.8381,1.7682568,2.7272727,0,0,40000,10.596635,14
100323,(3) in the middle,(2) somewhat concerned,49.374702,.081607819,3.1666667,0,0,27500,10.221941,12
