id,hrs1,marital,childs,age,educ,sex,polviews,wwwhr,trustpeo,wantbest,advantge,goodlife,deckids,strsswrk,satjob7
12,50,married,three,48,11,male,,5,,,,,we decide together,disagree,fairly satisfied
1627,,never married,one,25,11,male,conservative,1,agree,neither agree nor disagree,strongly agree,agree,,,
1247,53,married,two,34,15,male,extremely liberal,7,,,,,,,
2632,,married,five,82,16,male,slightly liberal,,disagree,agree,disagree,disagree,,,
2374,50,married,three,33,12,male,,0,,,,,we decide together,disagree,fairly satisfied
1337,,married,three,69,19,male,liberal,,strongly agree,neither agree nor disagree,disagree,,,,
1792,30,divorced,none,56,16,male,,28,,,,,,,
2621,40,never married,none,51,13,male,moderate,,strongly agree,strongly disagree,strongly agree,agree,,,
172,60,divorced,none,39,16,male,,,,,,,,,
2619,,married,four,56,18,male,,1,,,,,we decide together,agree,very satisfied
1675,45,married,two,25,8,male,moderate,2,,agree,neither agree nor disagree,,,,
294,,married,two,76,15,male,moderate,,agree,neither agree nor disagree,agree,,,,
1257,50,married,none,31,18,male,slightly liberal,1,agree,agree,agree,,,,
1387,45,never married,none,26,16,male,,,,,,,we decide together,disagree,fairly dissatisfied
679,30,never married,none,24,15,male,,50,,,,,mostly my spouse,disagree,completely satisfied
1177,,married,seven,68,13,male,,0,,,,,sometimes me or sometimes my spouse,,
2642,,married,none,68,17,male,,,,,,,,agree,
1117,52,never married,one,20,12,male,,2,,,,,,,
930,6,never married,four,36,8,male,,,agree,disagree,agree,agree,,,
170,37,married,one,63,16,male,conservative,,,,,agree,,,
80,40,married,two,44,13,male,,1,,,,,,,
1480,,married,none,51,14,male,,,,,,,,,
81,40,divorced,none,44,11,male,,,,,,,,disagree,fairly satisfied
2603,60,divorced,two,45,12,male,,,,,,,,strongly disagree,fairly dissatisfied
2581,50,married,none,34,19,male,slightly liberal,10,agree,neither agree nor disagree,neither agree nor disagree,strongly agree,,,
488,,never married,none,49,11,male,moderate,,agree,neither agree nor disagree,strongly agree,neither,,,
470,,married,three,73,12,male,conservative,3,,,,strongly agree,,,
1020,40,married,two,50,16,male,liberal,3,strongly agree,disagree,agree,agree,,,
2572,55,married,three,42,12,male,,,,,,,sometimes me or sometimes my spouse,agree,completely satisfied
688,50,married,two,51,14,male,conservative,1,agree,neither agree nor disagree,neither agree nor disagree,agree,,,
2757,36,married,four,36,12,male,liberal,1,strongly agree,strongly agree,strongly agree,agree,,,
2569,45,married,two,49,16,male,,1,,,,,,,
2274,70,married,two,63,14,male,,,,,,,,disagree,completely satisfied
2565,30,married,two,56,15,male,,10,,,,,sometimes me or sometimes my spouse,strongly agree,very satisfied
2564,,widowed,none,88,10,male,,,,,,,,,
2605,60,married,two,62,12,male,conservative,5,strongly agree,neither agree nor disagree,agree,strongly agree,,,
1849,40,never married,none,32,12,male,moderate,,strongly agree,agree,agree,agree,,,
1947,65,never married,none,28,16,male,,0,,,,,,,
135,60,never married,none,30,12,male,,,,,,,,strongly disagree,completely satisfied
708,48,married,four,43,12,male,,4,strongly agree,disagree,agree,,,,
2277,65,never married,none,21,12,male,moderate,,agree,agree,agree,strongly agree,,,
1507,43,married,three,52,13,male,moderate,5,,neither agree nor disagree,neither agree nor disagree,strongly agree,,,
243,70,never married,none,23,14,male,moderate,5,neither agree nor disagree,strongly agree,neither agree nor disagree,strongly agree,,,
2544,50,divorced,none,,16,male,moderate,10,strongly agree,disagree,agree,,,,
601,2,married,two,59,16,male,conservative,1,agree,disagree,agree,,,,
2164,40,married,three,49,12,male,,,,,,,we decide together,disagree,fairly satisfied
2538,60,never married,none,25,12,male,moderate,,strongly agree,strongly agree,strongly agree,agree,,,
2715,50,never married,none,24,15,male,moderate,1,agree,neither agree nor disagree,agree,,,,
2535,16,never married,none,25,18,male,moderate,,agree,agree,agree,,,,
398,40,never married,none,36,12,male,moderate,,strongly agree,neither agree nor disagree,agree,agree,,,
2105,48,married,four,30,12,male,moderate,,disagree,agree,disagree,strongly agree,,,
2311,40,never married,none,33,13,male,,5,,,,,,strongly disagree,very satisfied
2525,,married,two,63,12,male,,,,,,,we decide together,,
2589,48,never married,none,25,13,male,moderate,,strongly agree,disagree,strongly agree,,,,
608,,separated,none,61,7,male,moderate,,strongly agree,neither agree nor disagree,strongly agree,,,,
2583,38,never married,none,23,16,male,,4,,,,,,agree,very satisfied
1326,40,never married,none,48,14,male,slightly liberal,,disagree,neither agree nor disagree,neither agree nor disagree,disagree,,,
1743,,never married,none,21,14,male,moderate,0,disagree,neither agree nor disagree,disagree,,,,
2515,12,never married,none,37,12,male,,,,,,,,,
389,,married,eight or more,65,8,male,,,,,,,we decide together,neither agree nor disagree,
605,50,married,four,56,18,male,conservative,3,disagree,agree,disagree,strongly agree,,,
849,30,never married,none,54,12,male,,1,,,,,,agree,fairly satisfied
2507,38,married,six,39,10,male,,1,,,,,sometimes me or sometimes my spouse,strongly disagree,fairly dissatisfied
39,35,divorced,none,43,14,male,,40,,,,,,disagree,fairly satisfied
199,24,never married,none,18,14,male,,2,,,,,,,
1594,30,married,two,56,12,male,conservative,,neither agree nor disagree,agree,,neither,,,
998,50,divorced,one,40,12,male,slightly liberal,,strongly agree,disagree,agree,disagree,,,
487,40,married,three,25,9,male,moderate,,agree,,strongly agree,,,,
2303,,never married,none,40,14,male,moderate,25,strongly agree,strongly agree,disagree,,,,
296,,widowed,two,63,18,male,slghtly conservative,8,agree,neither agree nor disagree,neither agree nor disagree,agree,,,
2492,50,married,one,46,13,male,,8,,,,,we decide together,strongly agree,fairly satisfied
1129,,never married,none,19,11,male,moderate,5,neither agree nor disagree,strongly agree,disagree,,,,
2490,,widowed,two,53,10,male,,,,,,,,neither agree nor disagree,
2106,32,never married,none,28,14,male,,2,,,,,,strongly disagree,fairly dissatisfied
2254,37,divorced,one,36,13,male,conservative,,strongly agree,strongly agree,strongly agree,agree,,,
2227,43,married,two,55,16,male,,,,,,,we decide together,strongly disagree,very satisfied
673,,divorced,three,67,12,male,slghtly conservative,,strongly agree,agree,agree,agree,,,
1777,45,divorced,two,61,15,male,moderate,1,agree,agree,agree,agree,,,
801,,divorced,three,73,12,male,slghtly conservative,,agree,,neither agree nor disagree,agree,,,
434,45,never married,none,33,18,male,,,,,,,,,
932,,never married,one,26,12,male,,,neither agree nor disagree,neither agree nor disagree,strongly agree,agree,,,
1086,,divorced,eight or more,64,13,male,,,,,,,,strongly disagree,neither satisfied nor dissatisfied
2750,50,married,one,26,14,male,,,,,,,we decide together,neither agree nor disagree,neither satisfied nor dissatisfied
2533,20,divorced,three,66,14,male,,40,,,,,,agree,very satisfied
287,50,married,three,40,19,male,liberal,9,agree,agree,agree,,,,
2109,50,married,one,63,8,male,conservative,,agree,neither agree nor disagree,agree,neither,,,
1985,,married,six,77,10,male,,1,,,,,,neither agree nor disagree,
1922,83,never married,none,,20,male,,7,,,,,,strongly disagree,fairly satisfied
2409,36,divorced,one,34,12,male,moderate,,,,,agree,,,
1874,10,never married,none,38,20,male,,3,,,,,,neither agree nor disagree,fairly dissatisfied
1697,48,married,six,52,12,male,,,,,,,,,
755,50,married,two,70,10,male,slghtly conservative,,,,,disagree,,,
2471,,married,two,70,16,male,conservative,2,agree,agree,neither agree nor disagree,,,,
1411,40,never married,none,26,14,male,,1,,,,,,neither agree nor disagree,fairly satisfied
2429,,married,five,64,0,male,slightly liberal,,agree,agree,agree,agree,,,
1844,20,married,three,53,11,male,slightly liberal,2,,,,neither,,,
2422,,divorced,none,61,9,male,moderate,,,,,,,,
186,,never married,one,24,11,male,moderate,,strongly agree,agree,strongly agree,,,,
929,,married,eight or more,47,12,male,liberal,12,agree,neither agree nor disagree,neither agree nor disagree,,,,
2627,48,married,one,30,12,male,,,,,,,,,
162,48,never married,none,34,15,male,,,,,,,,disagree,completely satisfied
685,30,married,three,48,20,male,liberal,3,strongly agree,agree,disagree,,,,
2062,,married,seven,84,12,male,conservative,,,,,disagree,,,
2416,16,widowed,two,67,10,male,,,,,,,,agree,very satisfied
380,40,separated,seven,66,12,male,moderate,0,,,,,,,
1624,,never married,none,33,16,male,,12,,,,,,disagree,completely dissatisfied
619,45,divorced,two,23,14,male,,25,,,,,sometimes me or sometimes my spouse,disagree,very dissatisfied
1374,60,divorced,three,41,14,male,slghtly conservative,1,strongly agree,disagree,strongly agree,,,,
2628,33,never married,none,20,12,male,,1,,,,,we decide together,agree,very satisfied
635,40,married,none,34,12,male,moderate,4,agree,agree,disagree,,,,
2025,39,divorced,two,33,12,male,moderate,,strongly agree,strongly agree,strongly agree,agree,,,
2662,40,never married,none,40,18,male,slghtly conservative,26,strongly agree,disagree,strongly agree,,,,
607,50,married,two,54,18,male,,15,,,,,sometimes me or sometimes my spouse,agree,
2401,,never married,none,21,13,male,,50,,,,,,disagree,fairly dissatisfied
976,,divorced,two,26,12,male,slightly liberal,20,strongly agree,strongly disagree,strongly agree,,,,
1781,55,never married,none,24,16,male,,5,,,,,,disagree,very satisfied
2733,35,never married,none,41,12,male,,10,,,,,,disagree,fairly satisfied
1363,60,divorced,two,52,16,male,slightly liberal,5,agree,neither agree nor disagree,neither agree nor disagree,disagree,,,
786,,married,three,71,12,male,extremely liberal,,agree,agree,agree,neither,,,
2450,,never married,none,22,14,male,moderate,0,agree,agree,agree,strongly agree,,,
2388,40,divorced,three,48,12,male,moderate,2,strongly agree,agree,agree,agree,,,
2387,40,married,one,43,9,male,,0,,,,,mostly me,disagree,fairly satisfied
369,,married,four,75,17,male,liberal,8,strongly agree,agree,agree,,,,
819,34,separated,two,33,9,male,conservative,,agree,neither agree nor disagree,strongly agree,agree,,,
749,48,divorced,three,36,12,male,slightly liberal,2,,,,agree,,,
2673,,divorced,eight or more,73,9,male,moderate,,strongly agree,neither agree nor disagree,agree,strongly agree,,,
2375,8,never married,none,35,10,male,,,,,,,,neither agree nor disagree,fairly satisfied
1832,12,married,five,43,14,male,,2,,,,,we decide together,neither agree nor disagree,very satisfied
1808,20,never married,none,24,14,male,,,,,,,,,
519,52,divorced,none,58,15,male,,,,,,,,agree,very satisfied
936,40,separated,three,43,12,male,,,,,,,,agree,completely satisfied
385,40,separated,none,46,15,male,moderate,15,agree,neither agree nor disagree,agree,disagree,,,
306,49,married,two,37,12,male,,,,,,,we decide together,strongly agree,very dissatisfied
1173,40,never married,none,36,18,male,,10,,,,,,,
1366,,widowed,two,61,12,male,,,,,,,,agree,completely satisfied
278,60,never married,none,26,16,male,,2,,,,,,strongly agree,very satisfied
2357,,married,three,74,15,male,,,,,,,mostly my spouse,neither agree nor disagree,very satisfied
1728,,never married,none,20,14,male,,0,agree,,disagree,,,,
2059,55,married,three,33,15,male,,1,,,,,,,
1735,,never married,none,37,14,male,slightly liberal,0,agree,neither agree nor disagree,agree,,,,
2124,40,married,two,22,11,male,,,,,,,we decide together,strongly agree,completely satisfied
61,40,married,none,49,18,male,,1,,,,,mostly my spouse,agree,fairly satisfied
1442,,married,none,73,19,male,moderate,1,agree,disagree,agree,,,,
2334,50,married,one,28,16,male,liberal,1,agree,agree,agree,,,,
471,40,divorced,none,33,16,male,moderate,,,,,,,,
793,,married,eight or more,64,14,male,conservative,,strongly agree,strongly agree,strongly agree,,,,
2081,40,divorced,one,46,16,male,conservative,5,,,,strongly agree,,,
2336,50,married,one,57,15,male,,0,,,,,sometimes me or sometimes my spouse,strongly disagree,completely satisfied
2335,44,married,one,27,12,male,liberal,6,agree,agree,disagree,agree,,,
433,80,never married,none,26,16,male,moderate,,,,,strongly agree,,,
221,55,never married,none,22,14,male,,2,,,,,,strongly agree,very satisfied
2590,50,never married,none,32,12,male,,,,,,,,disagree,fairly satisfied
2108,30,married,four,55,10,male,conservative,,,,,,,,
2752,49,married,three,57,9,male,,,,,,,we decide together,agree,completely dissatisfied
2314,,married,two,74,12,male,moderate,0,strongly agree,strongly agree,disagree,agree,,,
2040,,married,one,70,18,male,,,,,,,mostly my spouse,neither agree nor disagree,
1168,,married,four,87,12,male,slightly liberal,,disagree,agree,disagree,agree,,,
377,,married,two,57,14,male,moderate,21,strongly agree,neither agree nor disagree,neither agree nor disagree,,,,
2309,40,married,two,54,16,male,moderate,,strongly agree,agree,agree,neither,,,
97,50,divorced,two,50,14,male,slghtly conservative,1,agree,neither agree nor disagree,neither agree nor disagree,agree,,,
2399,40,never married,none,34,10,male,conservative,1,strongly agree,agree,strongly agree,disagree,,,
959,,married,two,69,17,male,,5,,,,,,,
2301,,never married,none,30,12,male,,24,,,,,,,
2068,45,married,two,31,12,male,,,,,,,,,
2292,32,never married,one,26,17,male,moderate,30,,,,agree,,,
139,,married,three,57,15,male,conservative,,neither agree nor disagree,agree,agree,agree,,,
2104,,never married,none,65,4,male,conservative,,agree,neither agree nor disagree,strongly agree,disagree,,,
1603,60,married,one,59,12,male,moderate,6,agree,neither agree nor disagree,neither agree nor disagree,agree,,,
2284,47,divorced,none,37,12,male,,2,,,,,,,
970,40,married,two,38,10,male,,2,,,,,mostly my spouse,disagree,very satisfied
1755,,married,five,73,10,male,,,,,,,,disagree,
1906,32,married,one,39,10,male,moderate,10,,,,,,,
18,50,never married,none,37,15,male,slghtly conservative,,agree,neither agree nor disagree,agree,strongly agree,,,
2009,40,separated,two,58,12,male,conservative,3,agree,agree,agree,agree,,,
112,40,married,two,38,2,male,,8,,,,,sometimes me or sometimes my spouse,agree,neither satisfied nor dissatisfied
2226,50,married,none,50,16,male,conservative,,strongly agree,strongly disagree,agree,disagree,,,
2275,50,married,one,41,11,male,,0,,,,,mostly my spouse,disagree,very satisfied
2354,50,married,two,37,13,male,slghtly conservative,4,disagree,agree,agree,,,,
242,70,never married,none,32,13,male,slightly liberal,7,strongly agree,strongly agree,strongly agree,strongly agree,,,
2267,,never married,none,53,16,male,conservative,25,agree,neither agree nor disagree,agree,strongly agree,,,
1725,26,divorced,three,47,13,male,moderate,,strongly agree,neither agree nor disagree,agree,agree,,,
209,40,divorced,two,35,10,male,moderate,,,,,agree,,,
808,20,never married,none,50,14,male,extrmly conservative,,strongly agree,strongly agree,agree,,,,
2184,53,married,none,41,13,male,,,,,,,mostly my spouse,strongly disagree,very satisfied
1550,40,separated,none,64,12,male,moderate,,strongly agree,agree,disagree,,,,
161,62,never married,none,27,12,male,,,,,,,,disagree,very satisfied
2671,40,divorced,none,58,15,male,liberal,3,strongly agree,disagree,agree,agree,,,
993,40,never married,none,24,16,male,,10,,,,,,agree,very satisfied
538,72,married,three,50,16,male,,6,,,,,we decide together,strongly disagree,neither satisfied nor dissatisfied
1824,60,married,two,49,16,male,,15,,,,,,,
1219,60,never married,none,22,13,male,,3,,,,,,agree,completely satisfied
1980,45,married,none,46,14,male,slghtly conservative,1,strongly agree,agree,neither agree nor disagree,neither,,,
2250,,divorced,three,55,11,male,,,,,,,,agree,fairly dissatisfied
507,,never married,none,37,13,male,liberal,,strongly agree,disagree,strongly agree,neither,,,
1248,,married,one,59,10,male,slghtly conservative,14,,,,agree,,,
1147,40,never married,none,37,16,male,,3,,,,,,disagree,neither satisfied nor dissatisfied
374,40,never married,none,22,12,male,,2,,,,,,neither agree nor disagree,completely satisfied
1944,40,married,none,41,13,male,,10,,,,,mostly me,strongly disagree,completely dissatisfied
2152,60,married,two,53,12,male,conservative,4,neither agree nor disagree,agree,disagree,strongly agree,,,
1021,40,married,two,41,14,male,moderate,,strongly agree,neither agree nor disagree,agree,agree,,,
1406,62,married,one,56,14,male,conservative,,strongly agree,neither agree nor disagree,agree,,,,
2232,45,separated,three,40,12,male,,,,,,,we decide together,agree,fairly satisfied
665,40,married,four,45,12,male,moderate,2,agree,neither agree nor disagree,neither agree nor disagree,agree,,,
1521,,married,two,37,13,male,,1,,,,,mostly me,strongly disagree,very satisfied
2702,,married,two,57,12,male,,20,,,,,we decide together,,
2276,,married,five,52,12,male,,,,,,,mostly my spouse,agree,
2308,56,married,none,32,14,male,liberal,24,,,,,,,
1204,40,never married,none,33,14,male,moderate,14,strongly agree,agree,agree,neither,,,
2426,,married,three,67,11,male,,,,,,,,,
1262,,married,one,48,12,male,,,,,,,,,
2559,70,never married,none,38,12,male,,,,,,,,disagree,fairly satisfied
2204,,separated,none,42,12,male,liberal,40,strongly agree,strongly agree,neither agree nor disagree,neither,,,
1065,87,never married,none,25,11,male,conservative,,agree,agree,neither agree nor disagree,,,,
2196,,never married,one,51,8,male,,,,,,,,strongly agree,
2428,84,divorced,one,50,12,male,,,strongly agree,agree,neither agree nor disagree,agree,,,
2410,,married,two,77,14,male,moderate,,,,,agree,,,
774,,married,two,43,18,male,,2,,,,,we decide together,strongly disagree,very satisfied
829,,never married,none,34,19,male,,,,,,,,neither agree nor disagree,
2171,55,married,three,52,12,male,liberal,,strongly agree,disagree,disagree,,,,
1076,,married,two,58,20,male,slightly liberal,4,disagree,agree,disagree,strongly agree,,,
524,60,married,three,34,19,male,,1,,,,,we decide together,neither agree nor disagree,very satisfied
395,,married,one,84,12,male,extrmly conservative,1,agree,agree,agree,agree,,,
2626,50,married,none,43,12,male,conservative,,strongly agree,strongly agree,neither agree nor disagree,agree,,,
543,30,married,two,60,14,male,,2,,,,,we decide together,disagree,very satisfied
2517,6,married,four,34,13,male,,,,,,,,,
2220,60,married,one,29,13,male,,1,,,,,we decide together,disagree,very satisfied
2161,,never married,none,26,8,male,,,,,,,someone else,,
2160,18,never married,none,19,12,male,moderate,,agree,strongly agree,agree,agree,,,
626,50,never married,one,22,12,male,,10,,,,,we decide together,agree,very satisfied
1176,55,married,one,36,15,male,slightly liberal,8,strongly agree,agree,strongly agree,,,,
597,,never married,none,73,16,male,,,,,,,,neither agree nor disagree,
65,40,married,three,62,8,male,conservative,,strongly agree,strongly agree,agree,agree,,,
35,40,never married,none,55,16,male,,3,,,,,,strongly agree,completely satisfied
346,55,never married,none,61,8,male,,1,,,,,,strongly agree,completely satisfied
578,40,never married,one,35,8,male,,,,,,,,,
1052,,widowed,three,69,9,male,extremely liberal,,agree,agree,agree,disagree,,,
1320,,married,four,57,6,male,,1,,,,,,,
1232,14,married,two,74,16,male,slghtly conservative,,agree,agree,neither agree nor disagree,agree,,,
1330,40,divorced,two,41,12,male,,,,,,,,strongly agree,very satisfied
1821,60,married,two,56,12,male,moderate,,,,,,,,
2140,70,married,three,41,19,male,,5,,,,,,,
241,40,never married,none,25,12,male,slightly liberal,,strongly agree,neither agree nor disagree,strongly agree,agree,,,
2350,52,divorced,two,32,14,male,moderate,,strongly agree,neither agree nor disagree,strongly agree,agree,,,
1427,,married,one,39,12,male,slghtly conservative,,strongly agree,strongly agree,strongly agree,strongly agree,,,
858,40,never married,none,27,19,male,,3,,,,,,agree,fairly satisfied
2131,,married,two,41,12,male,,,,,,,we decide together,neither agree nor disagree,very satisfied
825,53,never married,none,21,14,male,slightly liberal,0,,,,,,,
236,,married,two,89,2,male,moderate,,neither agree nor disagree,agree,strongly agree,neither,,,
2460,70,married,one,62,16,male,,2,,,,,we decide together,strongly disagree,neither satisfied nor dissatisfied
1740,,never married,none,22,13,male,liberal,5,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,,,
2118,40,married,two,56,14,male,,,,,,,mostly my spouse,strongly agree,completely satisfied
157,40,married,none,38,12,male,,0,,,,,,disagree,fairly satisfied
2117,,divorced,one,51,10,male,,0,,,,,,neither agree nor disagree,
944,42,widowed,two,62,12,male,slghtly conservative,0,agree,neither agree nor disagree,disagree,strongly agree,,,
2183,84,married,two,69,10,male,moderate,,neither agree nor disagree,neither agree nor disagree,agree,strongly agree,,,
1481,30,divorced,four,82,16,male,,,,,,,,,
1317,,divorced,none,49,12,male,,,,,,,,strongly agree,
1984,48,divorced,none,49,14,male,conservative,,agree,neither agree nor disagree,agree,agree,,,
1700,40,separated,two,54,16,male,,,,,,,we decide together,disagree,neither satisfied nor dissatisfied
1785,45,married,two,37,16,male,moderate,13,,,,,,,
951,,divorced,one,51,20,male,,20,,,,,,agree,
2094,40,married,none,50,12,male,moderate,,strongly agree,agree,agree,agree,,,
2093,15,divorced,one,53,13,male,,1,,,,,,strongly agree,fairly satisfied
1180,,never married,two,52,12,male,conservative,2,agree,neither agree nor disagree,agree,agree,,,
2369,,divorced,none,32,14,male,,,,,,,,neither agree nor disagree,fairly dissatisfied
91,,married,six,77,12,male,,,,,,,mostly my spouse,,
498,40,married,three,37,16,male,,1,,,,,we decide together,agree,very satisfied
1953,40,married,one,56,14,male,conservative,3,agree,neither agree nor disagree,neither agree nor disagree,strongly agree,,,
2496,,widowed,one,77,12,male,,,,,,,,,
980,,married,three,68,12,male,slightly liberal,,disagree,agree,agree,,,,
643,66,never married,three,25,9,male,,,,,,,mostly my spouse,neither agree nor disagree,very satisfied
1263,40,divorced,none,50,16,male,,0,,,,,,,
240,60,married,two,40,12,male,,0,,,,,we decide together,disagree,very satisfied
506,40,married,two,31,12,male,extremely liberal,,agree,disagree,strongly agree,strongly agree,,,
129,,never married,none,19,12,male,moderate,30,agree,agree,agree,disagree,,,
1715,60,divorced,two,52,15,male,conservative,4,agree,agree,neither agree nor disagree,disagree,,,
152,50,never married,none,24,17,male,slghtly conservative,2,agree,agree,agree,,,,
1632,40,never married,none,35,16,male,,15,,,,,,agree,fairly satisfied
224,40,married,three,32,11,male,moderate,,agree,agree,agree,agree,,,
2042,,married,three,83,12,male,slghtly conservative,,,,,disagree,,,
2041,20,married,three,74,12,male,slghtly conservative,,,,,strongly agree,,,
2163,,married,six,85,8,male,moderate,,,,,agree,,,
958,40,married,six,68,18,male,,,,,,,we decide together,neither agree nor disagree,fairly satisfied
2736,,married,four,68,16,male,moderate,1,,,,strongly agree,,,
2034,32,never married,one,27,12,male,slghtly conservative,4,strongly agree,disagree,agree,disagree,,,
2033,30,never married,none,20,8,male,moderate,,agree,agree,strongly agree,agree,,,
13,30,married,three,49,18,male,,4,,,,,sometimes me or sometimes my spouse,disagree,fairly satisfied
265,40,married,three,43,14,male,,60,,,,,we decide together,neither agree nor disagree,very satisfied
2030,,divorced,three,68,16,male,,,,,,,,neither agree nor disagree,
941,,never married,none,25,14,male,liberal,20,strongly agree,neither agree nor disagree,strongly agree,,,,
859,10,married,two,36,16,male,,10,,,,,we decide together,agree,neither satisfied nor dissatisfied
2023,,married,one,68,7,male,,,,,,,mostly me,neither agree nor disagree,
2241,40,married,three,45,12,male,moderate,0,agree,agree,agree,,,,
1958,48,married,none,30,14,male,moderate,0,strongly agree,neither agree nor disagree,strongly agree,,,,
2658,40,never married,none,28,14,male,,5,,,,,,agree,fairly satisfied
1494,30,married,four,42,15,male,,15,,,,,,disagree,completely satisfied
827,,widowed,two,38,12,male,conservative,,agree,agree,agree,neither,,,
1210,40,married,seven,45,14,male,,,,,,,sometimes me or sometimes my spouse,neither agree nor disagree,very satisfied
1299,40,married,two,67,11,male,slghtly conservative,,agree,agree,disagree,agree,,,
2694,,never married,none,20,12,male,liberal,2,neither agree nor disagree,agree,agree,strongly agree,,,
1992,50,never married,none,65,12,male,,,strongly agree,disagree,strongly agree,disagree,,,
1991,,married,five,64,11,male,slightly liberal,5,neither agree nor disagree,disagree,strongly agree,agree,,,
