,PS_code,PS_name,health_board,council_area,urban,total_pop,pcnt_overcrowding,pcnt_male_unemp,pcnt_no_car,pcnt_low_class,z_overcrowding,z_male_unemp,z_no_car,z_low_class,carstairs,pcnt_limited_lot,pcnt_no_llti,pcnt_bad_health,pcnt_good_health,all_house,owned,rent,rent_social,rent_private,quintile,decile,pop_16plus,no_qual,level1,level2,level3,level4,pop_16_74,work_pt,work_ft,work_se,student,retired,staying_home,sick_disabled,unemployed,pop_4plus,work_home,light_rail,train,bus,taxi,drive,drive_pass,motorcycle,bicycle,on_foot,other.transport,travel_2,travel_2_5,travel_5_10,travel_10_20,travel_20_30,travel_30_40,travel_40_60,travel_60,other.distance,pcnt_no_qual,pcnt_level1,pcnt_level2,pcnt_level3,pcnt_level4,pcnt_work_pt,pcnt_work_ft,pcnt_work_se,pcnt_sick_disabled,pcnt_staying_home,pcnt_unemployed,pcnt_work_home,pcnt_light_rail,pcnt_train,pcnt_bus,pcnt_taxi,pcnt_drive,pcnt_drive_pass,pcnt_motorcycle,pcnt_bicycle,pcnt_on_foot,pcnt_other.transport,pcnt_travel_2,pcnt_travel_2_5,pcnt_travel_5_10,pcnt_travel_10_20,pcnt_travel_20_30,pcnt_travel_30_40,pcnt_travel_40_60,pcnt_travel_60
11,S29000011,AB12 4,Grampian,Aberdeenshire,Rural,8109,1.391304348,2.395209581,5.98757764,10.59444514,-1.004609137,-1.440629642,-1.204758848,-1.03434268,-4.684340308,6.677946891,84.22130728,3.396079557,86.09019468,3205,2745,460,274,186,1,1,6608,1174,2027,1042,836,1529,6248,958,3275,429,441,651,193,107,194,6133,508,1,51,445,50,3259,543,25,50,1069,132,1461,434,1464,1531,55,34,35,52,559,17.76634383,30.67493947,15.76876513,12.65133172,23.13861985,15.33290653,52.41677337,6.866197183,1.712548015,3.088988476,3.104993598,8.283058862,0.016305234,0.831566933,7.255829121,0.815261699,53.13875754,8.853742051,0.40763085,0.815261699,17.43029512,2.152290885,23.82194684,7.076471547,23.87086255,24.96331322,0.896787869,0.554377955,0.570683189,0.847872167
12,S29000012,AB12 5 (part) Aberdeen City,Grampian,Aberdeen City,Urban,7699,4.482488238,5.529522024,26.12388918,21.02272727,0.655443246,-0.700528792,0.245856592,0.285698232,0.486469278,9.714953498,78.93059044,5.572923258,80.76383789,3489,2209,1280,1086,194,4,7,6492,2095,2018,767,533,1079,5685,806,2583,297,371,867,194,275,292,4870,415,2,13,818,56,1957,490,20,64,934,101,1079,1950,623,247,39,9,7,31,470,32.27048675,31.08441158,11.81454097,8.210104744,16.62045595,14.17766051,45.4353562,5.224274406,4.837291117,3.412489006,5.136323659,8.521560575,0.041067762,0.266940452,16.79671458,1.149897331,40.18480493,10.06160164,0.410677618,1.314168378,19.17864476,2.073921971,22.15605749,40.04106776,12.7926078,5.071868583,0.800821355,0.184804928,0.143737166,0.636550308
13,S29000013,AB12 5 (part) Aberdeenshire,Grampian,Aberdeenshire,Rural,1426,0.589970501,1.398601399,1.843657817,3.059701493,-1.434947871,-1.67595735,-1.503285918,-1.988111456,-6.602302595,3.543500892,87.93397384,1.924970763,91.33744676,502,386,116,6,110,1,1,1104,126,196,151,89,542,1058,136,414,171,84,105,78,29,41,1057,174,1,8,138,4,509,149,1,8,51,14,21,158,322,236,22,16,30,17,61,11.41304348,17.75362319,13.67753623,8.061594203,49.0942029,12.85444234,39.13043478,16.16257089,2.741020794,7.372400756,3.875236295,16.46168401,0.094607379,0.756859035,13.05581835,0.378429518,48.1551561,14.09649953,0.094607379,0.756859035,4.824976348,1.324503311,1.986754967,14.94796594,30.46357616,22.32734153,2.081362346,1.51371807,2.838221381,1.608325449
14,S29000014,AB13 0,Grampian,Aberdeen City,Rural,2640,1.154918359,1.278409091,2.469135802,3.558431055,-1.131555038,-1.704338193,-1.458226622,-1.924980883,-6.219100736,3.555181307,89.61841092,1.204848102,92.52767982,938,826,112,19,93,1,1,2079,243,266,266,204,1100,1829,248,706,208,170,305,124,22,46,1782,188,0,2,221,9,875,186,6,29,232,34,206,217,711,317,10,3,6,12,112,11.68831169,12.79461279,12.79461279,9.812409812,52.91005291,13.55932203,38.60032805,11.37233461,1.202843084,6.779661017,2.515035539,10.54994388,0,0.112233446,12.40179574,0.505050505,49.10213244,10.43771044,0.336700337,1.627384961,13.01907969,1.907968575,11.56004489,12.17732884,39.8989899,17.78900112,0.561167228,0.168350168,0.336700337,0.673400673
15,S29000015,AB14 0 (part) Aberdeen City,Grampian,Aberdeen City,Rural,5060,1.532488762,2.902557015,10.19615856,12.01251303,-0.92878915,-1.320830396,-0.901573607,-0.854839708,-4.006032862,6.086391178,84.39342845,3.132505641,87.14773927,2206,1648,558,311,247,1,2,4182,860,899,547,406,1470,3772,504,1682,356,294,545,156,109,126,3464,336,1,4,554,22,1797,292,12,43,337,66,394,181,737,1457,23,12,5,21,298,20.56432329,21.49689144,13.07986609,9.708273553,35.15064562,13.36161188,44.59172853,9.437963945,2.88971368,4.13573701,3.340402969,9.699769053,0.02886836,0.115473441,15.99307159,0.635103926,51.87644342,8.429561201,0.346420323,1.241339492,9.728637413,1.905311778,11.37413395,5.22517321,21.27598152,42.06120092,0.663972286,0.346420323,0.144341801,0.606235566
16,S29000016,AB15 4,Grampian,Aberdeen City,Urban,4388,1.345083488,2.482758621,7.305194805,3.29512894,-1.029431035,-1.419956809,-1.109837998,-1.958310396,-5.517536237,4.34575706,87.3864651,1.687000038,91.1567427,1969,1451,518,64,454,1,1,3631,298,440,419,300,2174,3272,304,1625,368,330,348,180,15,102,3193,280,1,8,228,20,1365,267,8,64,873,79,854,1294,448,45,16,4,16,42,194,8.207105481,12.11787386,11.53952079,8.262186725,59.87331314,9.290953545,49.66381418,11.24694377,0.458435208,5.501222494,3.117359413,8.769182587,0.031318509,0.250548074,7.140620106,0.626370185,42.74976511,8.362041967,0.250548074,2.004384591,27.34105857,2.47416223,26.74600689,40.52615096,14.03069214,1.409332916,0.501096148,0.125274037,0.501096148,1.315377388
17,S29000017,AB15 5,Grampian,Aberdeen City,Urban,3886,1.291655903,2.189141856,11.23740635,5.239361702,-1.058123145,-1.489288128,-0.826562346,-1.712204013,-5.086177633,4.604122615,86.01530624,2.769653348,89.95255491,1736,1341,395,125,270,1,1,3183,320,449,373,282,1759,2889,375,1317,264,308,368,107,68,82,2777,261,0,10,212,7,1023,213,11,61,922,57,997,921,349,41,35,2,6,27,138,10.05340873,14.10618913,11.71850456,8.859566447,55.26233113,12.98026999,45.5867082,9.138110073,2.353755625,3.703703704,2.838352371,9.398631617,0,0.360100828,7.634137559,0.25207058,36.83831473,7.670147641,0.396110911,2.196615052,33.20129636,2.052574721,35.90205257,33.16528628,12.56751891,1.476413396,1.260352899,0.072020166,0.216060497,0.972272236
18,S29000018,AB15 6,Grampian,Aberdeen City,Urban,5755,3.160310734,4.726826274,19.43855932,16.40412819,-0.05460313,-0.890068226,-0.235753096,-0.298936866,-1.479361317,8.235808142,80.11536748,4.676727283,83.32580257,2711,1696,1015,749,266,2,4,4873,1121,1183,582,421,1566,4211,560,1924,297,266,621,152,202,189,3632,356,1,10,472,46,1571,373,18,60,640,85,681,1321,814,36,43,4,12,35,330,23.00430946,24.27662631,11.94336138,8.639441822,32.13626103,13.29850392,45.68985989,7.052956542,4.796960342,3.609593921,4.488245072,9.801762115,0.02753304,0.275330396,12.99559471,1.266519824,43.25440529,10.26982379,0.495594714,1.651982379,17.62114537,2.34030837,18.75,36.37114537,22.41189427,0.991189427,1.183920705,0.110132159,0.330396476,0.963656388
19,S29000019,AB15 7,Grampian,Aberdeen City,Urban,5121,0.566738323,2.883922134,8.325190541,5.199444334,-1.447424202,-1.325230625,-1.036357731,-1.717256865,-5.526269422,4.83098602,86.9507551,2.074310653,90.67414585,2378,2071,307,117,190,1,1,4361,588,713,596,430,2034,3604,473,1622,319,219,685,134,45,107,3134,234,2,9,342,17,1643,279,11,57,470,70,440,1542,546,59,30,7,7,30,239,13.48314607,16.34946113,13.66659023,9.860123825,46.64067874,13.12430633,45.00554939,8.85127636,1.248612653,3.71809101,2.968923418,7.46649649,0.063816209,0.287172942,10.91257179,0.542437779,52.42501595,8.9023612,0.350989151,1.818761966,14.99680919,2.233567326,14.03956605,49.20229738,17.42182514,1.882578175,0.95724314,0.223356733,0.223356733,0.95724314
20,S29000020,AB15 8 (part) Aberdeen City,Grampian,Aberdeen City,Rural,9030,1.645997745,2.777777778,6.685456595,5.936282375,-0.867831645,-1.350294344,-1.154483802,-1.623985859,-4.996595651,4.880690926,86.88394808,2.384583161,90.13191295,3746,3044,702,380,322,1,1,7279,1090,1335,963,752,3139,6346,866,2863,583,432,946,340,129,187,5920,512,1,17,673,41,3137,654,16,86,636,147,771,1468,2378,259,45,5,14,61,407,14.97458442,18.34043138,13.22983926,10.33108944,43.1240555,13.64639143,45.11503309,9.186889379,2.032776552,5.357705641,2.946738103,8.648648649,0.016891892,0.287162162,11.36824324,0.692567568,52.98986486,11.0472973,0.27027027,1.452702703,10.74324324,2.483108108,13.02364865,24.7972973,40.16891892,4.375,0.760135135,0.084459459,0.236486486,1.030405405
21,S29000021,AB15 8 (part) Aberdeenshire,Grampian,Aberdeenshire,Rural,150,0,6.382978723,0.666666667,3.401360544,-1.751778565,-0.499003245,-1.588076101,-1.944863304,-5.783721215,5.508928571,82.61332418,2.866071429,88.1875,56,40,16,0,16,1,1,118,19,29,18,13,39,114,10,44,22,10,13,8,1,6,109,8,0,0,9,0,62,18,1,1,6,4,7,25,21,23,1,0,3,0,21,16.10169492,24.57627119,15.25423729,11.01694915,33.05084746,8.771929825,38.59649123,19.29824561,0.877192982,7.01754386,5.263157895,7.339449541,0,0,8.256880734,0,56.88073394,16.51376147,0.917431193,0.917431193,5.504587156,3.669724771,6.422018349,22.93577982,19.26605505,21.10091743,0.917431193,0,2.752293578,0
22,S29000022,AB15 9,Grampian,Aberdeen City,Urban,7297,0.775639184,1.846307385,4.251651824,4.184345282,-1.335238585,-1.570241156,-1.329814561,-1.845750922,-6.081045224,4.129278712,87.47784188,2.074059545,90.97766282,2718,2299,419,82,337,1,1,5774,580,780,666,460,3288,5180,650,2046,603,524,764,335,103,155,4987,571,2,10,430,8,2329,568,16,145,818,90,839,857,2111,218,39,13,12,51,276,10.04502944,13.5088327,11.53446484,7.966747489,56.94492553,12.54826255,39.4980695,11.64092664,1.988416988,6.467181467,2.992277992,11.4497694,0.040104271,0.200521356,8.622418288,0.160417084,46.7014237,11.38961299,0.320834169,2.907559655,16.40264688,1.8046922,16.82374173,17.18468017,42.33005815,4.37136555,0.782033287,0.260677762,0.240625627,1.022658913
23,S29000023,AB16 5,Grampian,Aberdeen City,Urban,10245,5.686600763,5.699671173,31.15395909,26.80539817,1.302085418,-0.660351709,0.608221719,1.017684774,2.267640202,10.46683173,78.19645935,5.88729782,80.02159548,4841,2394,2447,2096,351,4,8,8617,2929,2611,899,682,1496,7550,1075,3324,320,625,1165,225,415,401,6439,591,0,11,1061,65,2398,530,19,60,1601,103,1505,2383,1155,127,53,6,23,28,568,33.99094813,30.30056864,10.43286527,7.914587443,17.36103052,14.2384106,44.02649007,4.238410596,5.496688742,2.98013245,5.311258278,9.178443858,0,0.17083398,16.47771393,1.009473521,37.24180773,8.231091784,0.295076875,0.931821711,24.86410933,1.599627271,23.3731946,37.00885231,17.93756795,1.972355956,0.823109178,0.093182171,0.357198323,0.434850132
24,S29000024,AB16 6,Grampian,Aberdeen City,Urban,7806,5.252369972,6.891634981,27.68383295,26.12359551,1.068891313,-0.378894949,0.358234597,0.9313803,1.979611262,11.50605562,76.1115703,6.873166953,78.2833599,3643,1838,1805,1640,165,4,8,6412,2275,2114,684,482,857,5650,860,2553,268,297,726,211,376,359,4936,474,0,6,760,57,2016,429,23,43,1050,78,1103,1447,1332,72,18,1,12,22,455,35.48034934,32.96943231,10.66749844,7.517155334,13.36556457,15.22123894,45.18584071,4.743362832,6.654867257,3.734513274,6.353982301,9.602917342,0,0.121555916,15.39708266,1.154781199,40.84278768,8.691247974,0.465964344,0.871150729,21.27228525,1.580226904,22.34602917,29.31523501,26.98541329,1.458670989,0.364667747,0.020259319,0.243111831,0.445705024
25,S29000025,AB16 7,Grampian,Aberdeen City,Urban,11194,8.643197983,8.743882545,32.58305573,31.0772811,2.889860987,0.0584737,0.711173526,1.558431579,5.217939791,11.77775936,75.97628456,7.099347829,76.91210288,4395,1847,2548,2374,174,5,10,8677,3044,3006,856,640,1131,8191,1278,3413,319,661,818,429,576,697,7436,794,1,12,1570,70,2536,819,32,55,1435,112,1541,2685,1535,174,36,3,11,35,622,35.08124928,34.6433099,9.86516077,7.375821136,13.03445891,15.60249054,41.66768404,3.894518374,7.032108412,5.237455744,8.509339519,10.67778375,0.01344809,0.161377084,21.11350188,0.941366326,34.10435718,11.01398601,0.430338892,0.73964497,19.29800968,1.506186122,20.72350726,36.10812265,20.64281872,2.339967725,0.484131253,0.040344271,0.147928994,0.470683163
26,S29000026,AB21 0 (part) Aberdeen City,Grampian,Aberdeen City,Rural,467,7.494646681,2.083333333,5.56745182,6.19266055,2.273056749,-1.514272548,-1.23502462,-1.591532798,-2.067773217,7.107798496,83.68293154,2.93960949,87.76118466,199,142,57,18,39,2,4,394,68,94,46,45,141,372,36,156,51,34,54,15,15,11,331,57,0,2,36,2,164,42,0,0,16,12,14,54,61,102,0,0,3,4,36,17.25888325,23.85786802,11.6751269,11.4213198,35.78680203,9.677419355,41.93548387,13.70967742,4.032258065,4.032258065,2.956989247,17.22054381,0,0.604229607,10.87613293,0.604229607,49.54682779,12.68882175,0,0,4.833836858,3.625377644,4.229607251,16.3141994,18.42900302,30.81570997,0,0,0.906344411,1.208459215
27,S29000027,AB21 0 (part) Aberdeenshire,Grampian,Aberdeenshire,Rural,7841,1.071701965,2.309197652,3.240622608,8.715358715,-1.176244574,-1.46093952,-1.402648883,-1.272202658,-5.312035635,5.680334359,85.0244968,2.824071075,87.95356342,3049,2500,549,267,282,1,1,6052,808,1470,885,783,2106,5777,877,3118,514,292,543,214,64,155,5946,501,1,29,666,73,3443,460,19,38,564,152,594,276,1472,2345,104,55,61,40,498,13.35095836,24.28949108,14.62326504,12.93787178,34.79841375,15.18088974,53.97265016,8.897351567,1.10784144,3.704344816,2.683053488,8.425832492,0.016818029,0.487722839,11.20080727,1.227716112,57.9044736,7.736293306,0.31954255,0.639085099,9.485368315,2.556340397,9.989909183,4.641775984,24.75613858,39.43827783,1.749075008,0.924991591,1.025899765,0.672721157
28,S29000028,AB21 7 (part) Aberdeen City,Grampian,Aberdeen City,Urban,5617,1.938757021,2.53164557,12.62909947,15.83011583,-0.710611709,-1.408413201,-0.726305081,-0.371596944,-3.216926935,6.99634728,84.13781,3.364350959,85.92139135,2483,1896,587,413,174,1,2,4774,1291,1338,618,487,1040,4286,622,2046,234,211,819,103,131,120,3695,327,0,113,278,28,1763,261,24,35,777,89,1125,543,1027,310,14,1,22,19,307,27.04231253,28.0268119,12.9451194,10.20108923,21.78466695,14.51236584,47.73681755,5.459636024,3.056462902,2.403173122,2.799813346,8.849797023,0,3.058186739,7.52368065,0.757780785,47.71312585,7.063599459,0.649526387,0.947225981,21.02841678,2.408660352,30.44654939,14.69553451,27.79431664,8.389715832,0.378890392,0.027063599,0.595399188,0.51420839
29,S29000029,AB21 7 (part) Aberdeenshire,Grampian,Aberdeenshire,Rural,395,0,0.757575758,2.278481013,6.091370558,-1.751778565,-1.827321845,-1.471961351,-1.604354366,-6.655416127,6.786636321,85.62266008,1.995347564,87.64511971,164,134,30,1,29,1,1,333,63,81,49,40,100,319,45,123,53,21,56,9,4,8,288,46,0,7,35,2,151,29,2,3,8,5,2,65,54,89,1,2,3,3,23,18.91891892,24.32432432,14.71471471,12.01201201,30.03003003,14.10658307,38.55799373,16.61442006,1.253918495,2.821316614,2.507836991,15.97222222,0,2.430555556,12.15277778,0.694444444,52.43055556,10.06944444,0.694444444,1.041666667,2.777777778,1.736111111,0.694444444,22.56944444,18.75,30.90277778,0.347222222,0.694444444,1.041666667,1.041666667
30,S29000030,AB21 9,Grampian,Aberdeen City,Urban,8012,3.407045513,3.92,16.99665724,19.54491648,0.077900362,-1.080582995,-0.411667183,0.098632839,-1.315716978,7.197848952,81.5248235,4.041498116,84.05335316,3820,2554,1266,821,445,3,5,6975,1935,1973,877,741,1449,6148,822,3095,328,405,915,144,198,241,5297,429,2,13,707,63,2659,414,30,75,793,112,961,1404,1715,206,34,8,18,32,490,27.74193548,28.28673835,12.5734767,10.62365591,20.77419355,13.37020169,50.3415745,5.335068315,3.220559532,2.342225114,3.919973975,8.098923919,0.037757221,0.245421937,13.34717765,1.189352464,50.19822541,7.815744761,0.566358316,1.41589579,14.97073815,2.11440438,18.14234472,26.50556919,32.37681707,3.88899377,0.641872758,0.151028884,0.33981499,0.604115537
31,S29000031,AB22 8,Grampian,Aberdeen City,Urban,16331,1.883391348,2.538447286,8.142715067,11.13001828,-0.740344627,-1.406807121,-1.049503223,-0.966548345,-4.163203317,5.696190381,85.29621121,2.901035408,87.1840846,6986,5948,1038,525,513,1,2,13935,2820,3747,2187,1497,3684,12899,1985,6593,819,935,1641,357,186,383,11995,814,1,17,1320,120,6478,865,49,125,1909,297,2211,3553,3603,506,104,29,61,74,1040,20.23681378,26.88912809,15.69429494,10.74273412,26.43702906,15.38878983,51.11248934,6.349329405,1.441972246,2.767656407,2.96922242,6.7861609,0.008336807,0.141725719,11.00458524,1.00041684,54.00583576,7.211338058,0.408503543,1.042100875,15.91496457,2.47603168,18.43268028,29.62067528,30.03751563,4.218424343,0.867027928,0.241767403,0.508545227,0.616923718
32,S29000032,AB23 8 (part) Aberdeen City,Grampian,Aberdeen City,Urban,6185,2.294329728,2.598064187,8.636512619,10.97315436,-0.5196592,-1.392729865,-1.013930157,-0.986404615,-3.912723837,5.668063105,85.80666652,2.600897988,87.79357668,2618,2206,412,174,238,1,2,5236,1140,1316,787,564,1429,4825,693,2291,358,378,743,134,84,144,4381,352,0,3,597,36,2169,389,23,66,659,87,837,1038,1453,202,36,24,19,20,400,21.7723453,25.13368984,15.03055768,10.77158136,27.29182582,14.3626943,47.48186528,7.419689119,1.740932642,2.777202073,2.984455959,8.034695275,0,0.068477517,13.62702579,0.821730199,49.50924446,8.879251312,0.524994294,1.506505364,15.0422278,1.98584798,19.10522712,23.69322073,33.16594385,4.610819448,0.821730199,0.547820132,0.433690938,0.456516777
