id,hrs1,prestg80,sphrs1,educ,paeduc,sex,happy,hapmar,health,happy7,satfam7
71,40,54,,16,1,MALE,VERY HAPPY,VERY HAPPY,,,
72,,49,,12,,FEMALE,VERY HAPPY,,FAIR,,
73,,,,12,,MALE,PRETTY HAPPY,,,,
74,,47,,16,16,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
75,40,28,40,16,,MALE,,,GOOD,,
76,,64,40,18,,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
77,25,65,,16,12,MALE,VERY HAPPY,VERY HAPPY,,,
78,,28,,12,,FEMALE,,,POOR,,
79,,32,,16,,MALE,,,GOOD,,
80,40,47,,17,16,FEMALE,VERY HAPPY,,,,
81,40,38,35,16,16,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
82,38,46,40,12,,FEMALE,,,GOOD,,
83,,33,,9,2,FEMALE,PRETTY HAPPY,,,,
84,,46,40,16,12,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
85,,42,,12,,MALE,PRETTY HAPPY,,,,
86,,74,50,15,19,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
87,,32,,16,12,FEMALE,VERY HAPPY,,,,
88,,22,30,12,0,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
89,,39,,17,12,MALE,PRETTY HAPPY,,GOOD,,
90,,73,,10,12,FEMALE,PRETTY HAPPY,,GOOD,,
91,,20,,10,,FEMALE,PRETTY HAPPY,,FAIR,,
92,40,33,40,17,,MALE,,,GOOD,,
93,48,31,,10,0,MALE,VERY HAPPY,VERY HAPPY,,,
94,,32,,13,3,MALE,PRETTY HAPPY,VERY HAPPY,POOR,,
95,,56,10,16,14,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
96,35,49,65,17,10,FEMALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
97,45,75,,19,15,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
98,45,32,,13,,FEMALE,PRETTY HAPPY,,GOOD,,
99,40,53,30,16,,MALE,,,EXCELLENT,,
100,40,30,40,7,,MALE,,,FAIR,,
101,,23,,6,6,FEMALE,PRETTY HAPPY,,EXCELLENT,,
102,,49,,14,,FEMALE,,,EXCELLENT,,
103,35,22,,3,0,FEMALE,NOT TOO HAPPY,,,,
104,40,22,,10,,FEMALE,PRETTY HAPPY,,FAIR,,
105,40,29,,14,,MALE,VERY HAPPY,,,,
106,,74,45,15,12,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
107,,64,,17,6,FEMALE,NOT TOO HAPPY,,FAIR,,
108,,41,,18,12,FEMALE,PRETTY HAPPY,,,,
109,60,36,,15,,FEMALE,,,FAIR,,
110,,74,10,20,3,MALE,PRETTY HAPPY,VERY HAPPY,,,
111,70,71,,18,12,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
112,42,41,,14,18,MALE,VERY HAPPY,,EXCELLENT,,
113,50,61,,17,12,MALE,VERY HAPPY,,,,
114,40,61,,17,17,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
115,30,34,60,12,3,FEMALE,VERY HAPPY,VERY HAPPY,,,
116,,27,56,6,,FEMALE,,,EXCELLENT,,
117,40,52,,18,,FEMALE,PRETTY HAPPY,,,,
118,,36,,11,,FEMALE,NOT TOO HAPPY,,GOOD,,
119,24,46,,16,,FEMALE,,,FAIR,,
120,,34,,12,8,FEMALE,PRETTY HAPPY,,,,
121,,33,,2,,FEMALE,,,FAIR,,
122,50,20,,12,3,FEMALE,PRETTY HAPPY,,GOOD,,
123,55,42,,16,12,FEMALE,PRETTY HAPPY,,FAIR,,
124,,32,,13,,MALE,,,GOOD,,
125,,22,,12,2,MALE,NOT TOO HAPPY,,GOOD,,
126,,32,,12,,MALE,,,GOOD,,
127,,49,,13,,FEMALE,,,FAIR,,
128,,42,80,12,,FEMALE,,,GOOD,,
129,50,49,36,16,11,MALE,PRETTY HAPPY,VERY HAPPY,,,
130,25,46,35,19,,FEMALE,,,EXCELLENT,,
131,35,36,,13,12,MALE,PRETTY HAPPY,,EXCELLENT,,
132,40,45,35,14,12,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
133,80,63,40,16,11,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
134,,46,,12,,FEMALE,,,GOOD,,
135,40,50,40,16,,MALE,,,EXCELLENT,,
136,40,52,,18,,MALE,,,GOOD,,
137,55,56,35,12,6,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
138,40,62,,14,6,FEMALE,PRETTY HAPPY,,,,
139,40,33,40,16,15,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
140,,50,,16,,MALE,,,GOOD,,
141,55,43,40,16,12,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
142,,64,40,16,,FEMALE,VERY HAPPY,VERY HAPPY,,,
143,50,51,60,18,16,MALE,PRETTY HAPPY,PRETTY HAPPY,EXCELLENT,,
144,,49,,16,,FEMALE,,,POOR,,
145,,51,,14,8,FEMALE,NOT TOO HAPPY,,GOOD,,
146,38,47,,14,10,FEMALE,VERY HAPPY,,GOOD,,
147,35,66,40,17,,FEMALE,,,EXCELLENT,,
148,50,50,,12,12,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
149,40,27,,16,12,FEMALE,PRETTY HAPPY,,GOOD,,
150,70,44,,14,,MALE,,,EXCELLENT,,
151,35,22,40,11,,FEMALE,,,FAIR,,
152,45,50,,14,,MALE,PRETTY HAPPY,,GOOD,,
153,60,75,,19,,MALE,,,EXCELLENT,,
154,,51,54,12,0,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
155,40,33,,12,,FEMALE,PRETTY HAPPY,,GOOD,,
156,43,40,42,14,10,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
157,35,49,40,16,,FEMALE,,,GOOD,,
158,40,51,,16,16,FEMALE,PRETTY HAPPY,,,,
159,40,41,45,12,,FEMALE,,,GOOD,,
160,40,48,,16,,FEMALE,VERY HAPPY,,,,
161,58,51,,14,14,MALE,PRETTY HAPPY,,,,
162,35,69,40,16,5,FEMALE,PRETTY HAPPY,VERY HAPPY,,,
163,35,64,40,19,,FEMALE,,,GOOD,,
164,40,46,,12,8,MALE,PRETTY HAPPY,,FAIR,,
165,40,36,,12,3,FEMALE,VERY HAPPY,,,,
166,,44,,16,20,FEMALE,PRETTY HAPPY,,GOOD,,
167,,46,,18,12,FEMALE,PRETTY HAPPY,,EXCELLENT,,
168,35,36,,12,,FEMALE,,,EXCELLENT,,
169,20,61,44,16,15,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
170,50,44,,18,,MALE,,,GOOD,,
171,35,69,,14,,FEMALE,,,GOOD,,
172,35,52,80,14,,FEMALE,,,GOOD,,
173,40,43,,14,14,FEMALE,NOT TOO HAPPY,,GOOD,,
174,38,51,,12,,FEMALE,,,GOOD,,
175,40,64,,16,,FEMALE,,,EXCELLENT,,
176,25,36,40,16,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,EXCELLENT,,
177,,,,14,13,FEMALE,PRETTY HAPPY,,EXCELLENT,,
178,,44,,10,8,MALE,PRETTY HAPPY,VERY HAPPY,FAIR,,
179,40,60,45,14,,FEMALE,,,EXCELLENT,,
180,50,61,,14,12,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
181,,69,,16,12,MALE,VERY HAPPY,VERY HAPPY,,,
182,,47,,12,12,FEMALE,VERY HAPPY,,,,
183,40,39,,16,12,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
184,34,45,,13,12,FEMALE,PRETTY HAPPY,,EXCELLENT,,
185,47,29,,16,,FEMALE,,,GOOD,,
186,89,64,70,20,20,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
187,,51,60,16,,FEMALE,,,EXCELLENT,,
188,,64,,20,16,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
189,85,53,,16,6,MALE,VERY HAPPY,,EXCELLENT,,
190,,34,,12,4,FEMALE,VERY HAPPY,,,,
191,48,55,45,16,,FEMALE,,,FAIR,,
192,38,65,40,16,,FEMALE,,,GOOD,,
193,,66,40,12,10,FEMALE,NOT TOO HAPPY,PRETTY HAPPY,FAIR,,
194,60,51,,9,3,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
195,,39,,12,6,MALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
196,,42,,13,16,FEMALE,PRETTY HAPPY,NOT TOO HAPPY,GOOD,,
197,55,64,,18,16,MALE,PRETTY HAPPY,,,,
198,,64,,18,11,FEMALE,PRETTY HAPPY,VERY HAPPY,FAIR,,
199,,73,50,20,8,FEMALE,VERY HAPPY,PRETTY HAPPY,,,
200,35,49,40,18,16,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
201,10,23,40,13,,FEMALE,VERY HAPPY,VERY HAPPY,,,
202,42,48,,16,11,FEMALE,PRETTY HAPPY,,,,
203,,47,,16,12,MALE,NOT TOO HAPPY,,EXCELLENT,,
204,6,54,,18,15,FEMALE,VERY HAPPY,VERY HAPPY,,,
205,,66,,20,13,FEMALE,PRETTY HAPPY,,,,
206,20,23,32,6,0,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
207,60,39,60,12,,FEMALE,,,GOOD,,
208,40,32,,5,,FEMALE,,,FAIR,,
209,50,35,,15,10,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
210,,28,45,13,14,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
211,14,23,,13,6,FEMALE,PRETTY HAPPY,,,,
212,,66,,15,,FEMALE,VERY HAPPY,,GOOD,,
213,70,74,60,12,,MALE,PRETTY HAPPY,PRETTY HAPPY,EXCELLENT,,
214,10,64,75,16,14,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
215,,66,,16,,FEMALE,,,GOOD,,
216,,,,10,,MALE,,,EXCELLENT,,
217,,50,40,16,,FEMALE,,,POOR,,
218,40,39,,12,,FEMALE,PRETTY HAPPY,,,,
219,,47,,14,,FEMALE,,,GOOD,,
220,40,57,40,14,,MALE,,,EXCELLENT,,
221,50,33,,10,9,MALE,VERY HAPPY,VERY HAPPY,,,
222,,47,,14,,FEMALE,,,GOOD,,
223,40,42,,12,6,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
224,50,51,,14,,MALE,NOT TOO HAPPY,,GOOD,,
225,50,42,30,13,,MALE,,,GOOD,,
226,46,33,10,14,,FEMALE,,,GOOD,,
227,40,42,45,14,,MALE,,,EXCELLENT,,
228,40,21,32,17,,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
229,40,31,,6,4,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
230,,42,,16,18,FEMALE,NOT TOO HAPPY,,POOR,,
231,,,,17,12,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
232,,33,60,16,,FEMALE,,,EXCELLENT,,
233,24,86,,16,20,MALE,VERY HAPPY,,,,
234,40,65,,18,,MALE,,,EXCELLENT,,
235,60,51,,14,14,FEMALE,PRETTY HAPPY,,,,
236,8,57,,18,,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
237,,72,,15,7,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
238,20,46,50,19,,FEMALE,PRETTY HAPPY,VERY HAPPY,,,
239,45,47,45,16,,MALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
240,,24,70,4,,FEMALE,VERY HAPPY,PRETTY HAPPY,FAIR,,
241,40,36,,9,,MALE,,,GOOD,,
242,,35,,12,1,FEMALE,PRETTY HAPPY,,GOOD,,
243,36,28,,12,12,MALE,PRETTY HAPPY,,GOOD,,
244,70,36,,12,,FEMALE,,,EXCELLENT,,
245,50,24,,12,12,MALE,PRETTY HAPPY,,GOOD,,
246,,,,10,,FEMALE,,,FAIR,,
247,,34,,14,,FEMALE,,,GOOD,,
248,,40,,13,,FEMALE,NOT TOO HAPPY,,GOOD,,
249,,74,,16,7,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
250,,51,,13,12,MALE,VERY HAPPY,,,,
251,24,40,,14,,FEMALE,VERY HAPPY,VERY HAPPY,,,
252,60,60,,17,14,FEMALE,NOT TOO HAPPY,,EXCELLENT,,
253,,73,,16,7,MALE,VERY HAPPY,VERY HAPPY,,,
254,40,33,,11,12,MALE,PRETTY HAPPY,,FAIR,,
255,60,47,60,16,13,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
256,,66,,12,,FEMALE,,,GOOD,,
257,80,68,72,18,11,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
258,30,36,48,14,14,FEMALE,VERY HAPPY,PRETTY HAPPY,,,
259,,39,,12,,FEMALE,,,POOR,,
260,6,61,40,13,8,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
261,40,51,,16,12,MALE,VERY HAPPY,,EXCELLENT,,
262,50,52,,17,,FEMALE,,,FAIR,,
263,82,40,80,14,12,FEMALE,VERY HAPPY,VERY HAPPY,,,
264,40,61,,18,16,MALE,VERY HAPPY,VERY HAPPY,,,
265,32,51,,18,14,MALE,VERY HAPPY,,EXCELLENT,,
266,,,,12,,FEMALE,,,GOOD,,
267,,72,,17,1,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
268,12,74,40,19,,FEMALE,,,GOOD,,
269,50,71,,16,16,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
270,12,31,,14,16,MALE,PRETTY HAPPY,,GOOD,,
271,,54,20,16,,FEMALE,,,POOR,,
272,,36,,12,8,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
273,,41,,12,12,FEMALE,NOT TOO HAPPY,,,,
274,57,34,,9,,MALE,,,FAIR,,
275,40,28,20,10,6,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
276,,,,3,,FEMALE,NOT TOO HAPPY,,,,
277,,36,,11,,FEMALE,VERY HAPPY,,EXCELLENT,,
278,40,31,,5,4,MALE,NOT TOO HAPPY,,FAIR,,
279,42,39,,13,,MALE,,,GOOD,,
280,40,47,40,15,,MALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
281,,68,,8,,MALE,,,GOOD,,
282,,,,13,,FEMALE,,,POOR,,
283,,29,,11,6,MALE,NOT TOO HAPPY,,GOOD,,
284,72,46,40,12,16,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
285,40,41,,14,,MALE,,,EXCELLENT,,
286,30,,,17,,MALE,,,GOOD,,
287,50,22,,11,,MALE,,,EXCELLENT,,
288,44,40,35,6,0,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
289,40,55,32,16,,MALE,,,GOOD,,
290,,34,,13,,FEMALE,,,GOOD,,
291,80,22,,15,15,MALE,PRETTY HAPPY,,,,
292,40,66,,16,20,FEMALE,PRETTY HAPPY,,EXCELLENT,,
293,40,31,56,13,16,FEMALE,VERY HAPPY,VERY HAPPY,,,
294,,49,40,14,14,FEMALE,VERY HAPPY,VERY HAPPY,,,
295,12,74,,18,,FEMALE,,,EXCELLENT,,
296,40,31,32,14,3,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
297,,,,15,16,FEMALE,PRETTY HAPPY,,EXCELLENT,,
298,,29,,16,12,FEMALE,VERY HAPPY,,,,
299,50,47,,12,,MALE,PRETTY HAPPY,,GOOD,,
300,40,52,40,14,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
301,75,66,40,16,8,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
302,60,47,36,18,16,MALE,VERY HAPPY,VERY HAPPY,,,
303,,47,40,14,12,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
304,40,50,,13,15,MALE,VERY HAPPY,VERY HAPPY,,,
305,,22,,12,,MALE,,,GOOD,,
306,48,33,,12,,MALE,PRETTY HAPPY,,GOOD,,
307,40,71,40,18,,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
308,,61,,20,,MALE,VERY HAPPY,,,,
309,,,40,12,13,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
310,60,74,,14,,MALE,VERY HAPPY,,GOOD,,
311,,,,12,,MALE,,,GOOD,,
312,,60,,15,14,MALE,PRETTY HAPPY,,GOOD,,
313,60,54,,16,,MALE,,,EXCELLENT,,
314,,59,50,17,,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
315,40,22,,12,,MALE,,,GOOD,,
316,36,58,,12,,FEMALE,,,EXCELLENT,,
317,70,58,,16,,MALE,,,GOOD,,
318,23,52,,18,,FEMALE,PRETTY HAPPY,,EXCELLENT,,
319,40,47,,16,8,MALE,VERY HAPPY,,GOOD,,
320,,46,,14,,FEMALE,,,FAIR,,
321,40,43,40,11,,FEMALE,VERY HAPPY,VERY HAPPY,,,
322,40,27,,15,12,FEMALE,VERY HAPPY,PRETTY HAPPY,,,
323,20,44,,16,12,MALE,NOT TOO HAPPY,,GOOD,,
324,,46,40,14,,FEMALE,,,FAIR,,
325,,36,55,13,,FEMALE,,,EXCELLENT,,
326,,51,,12,8,FEMALE,NOT TOO HAPPY,,GOOD,,
327,42,24,40,14,,MALE,,,EXCELLENT,,
328,4,51,,20,20,MALE,PRETTY HAPPY,,FAIR,,
329,,44,,14,,FEMALE,PRETTY HAPPY,VERY HAPPY,POOR,,
330,60,64,60,17,16,FEMALE,VERY HAPPY,VERY HAPPY,,,
331,,,,9,12,FEMALE,PRETTY HAPPY,,GOOD,,
332,,,,12,16,MALE,PRETTY HAPPY,,FAIR,,
333,,34,40,12,8,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
334,,36,,16,,MALE,,,GOOD,,
335,,36,,14,,MALE,PRETTY HAPPY,,FAIR,,
336,,66,,16,7,FEMALE,PRETTY HAPPY,,EXCELLENT,,
337,40,19,40,14,,MALE,,,GOOD,,
338,35,28,,11,14,MALE,PRETTY HAPPY,,FAIR,,
339,45,39,,16,14,FEMALE,PRETTY HAPPY,,,,
340,,33,,20,,FEMALE,PRETTY HAPPY,,,,
341,48,51,,14,,MALE,PRETTY HAPPY,,EXCELLENT,,
342,,47,,16,12,MALE,NOT TOO HAPPY,,EXCELLENT,,
343,,54,,17,0,MALE,VERY HAPPY,,GOOD,,
344,40,,,13,,MALE,PRETTY HAPPY,,GOOD,,
345,36,66,,15,13,FEMALE,VERY HAPPY,,,,
346,45,58,,17,15,MALE,VERY HAPPY,,,,
347,,44,,14,,FEMALE,VERY HAPPY,,EXCELLENT,,
348,44,59,,14,8,FEMALE,PRETTY HAPPY,,,,
349,,,,14,16,MALE,PRETTY HAPPY,,GOOD,,
350,60,63,,16,16,FEMALE,PRETTY HAPPY,,EXCELLENT,,
351,41,51,,15,,MALE,PRETTY HAPPY,,GOOD,,
352,40,48,,17,12,FEMALE,PRETTY HAPPY,,,,
353,40,51,,12,,FEMALE,,,FAIR,,
354,50,63,,16,,FEMALE,,,GOOD,,
355,40,64,,20,,FEMALE,,,GOOD,,
356,50,86,,20,,MALE,,,GOOD,,
357,55,51,,15,18,MALE,VERY HAPPY,,,,
358,,,40,12,0,FEMALE,VERY HAPPY,PRETTY HAPPY,GOOD,,
359,40,23,,6,0,MALE,PRETTY HAPPY,,GOOD,,
360,30,64,,16,,FEMALE,,,GOOD,,
361,40,74,,16,,MALE,,,EXCELLENT,,
362,32,35,40,5,2,FEMALE,VERY HAPPY,VERY HAPPY,,,
363,40,31,,5,,MALE,,,GOOD,,
364,,,40,12,,FEMALE,,,GOOD,,
365,51,31,,12,,FEMALE,,,FAIR,,
366,40,34,,12,0,FEMALE,PRETTY HAPPY,,,,
367,30,39,30,6,0,MALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
368,48,24,,12,,MALE,,,GOOD,,
369,38,36,30,12,12,FEMALE,PRETTY HAPPY,VERY HAPPY,,,
370,,,40,6,,MALE,,,FAIR,,
371,,42,,9,,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
372,40,42,,12,,FEMALE,VERY HAPPY,,,,
373,48,32,,12,,MALE,VERY HAPPY,,GOOD,,
374,40,58,45,14,,FEMALE,,,EXCELLENT,,
375,40,60,40,16,16,FEMALE,VERY HAPPY,VERY HAPPY,,,
376,37,51,,12,3,FEMALE,PRETTY HAPPY,,GOOD,,
377,,22,,8,2,FEMALE,VERY HAPPY,,FAIR,,
378,,40,40,14,18,MALE,VERY HAPPY,VERY HAPPY,,,
379,40,29,40,12,,FEMALE,,,EXCELLENT,,
380,40,51,,15,,MALE,PRETTY HAPPY,,GOOD,,
381,45,43,,16,20,FEMALE,PRETTY HAPPY,,FAIR,,
382,40,61,5,16,16,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
383,70,51,7,16,,MALE,,,FAIR,,
384,40,66,,16,12,FEMALE,PRETTY HAPPY,,FAIR,,
385,,46,,13,,FEMALE,,,EXCELLENT,,
386,,36,,12,12,FEMALE,NOT TOO HAPPY,,GOOD,,
387,40,36,40,10,6,MALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
388,40,35,40,6,6,FEMALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
389,,,40,9,,FEMALE,,,GOOD,,
390,40,40,40,12,0,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
391,40,33,40,12,0,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
392,,,40,6,0,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
393,42,44,,13,12,FEMALE,PRETTY HAPPY,,GOOD,,
394,,,40,12,,FEMALE,PRETTY HAPPY,PRETTY HAPPY,EXCELLENT,,
395,,66,,12,13,FEMALE,VERY HAPPY,,GOOD,,
396,,,30,12,6,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
397,15,34,,12,6,MALE,NOT TOO HAPPY,,,,
398,,39,,12,12,MALE,PRETTY HAPPY,,,,
399,36,25,,14,,MALE,PRETTY HAPPY,,,,
400,,30,,11,,MALE,,,EXCELLENT,,
401,,50,46,16,,FEMALE,,,EXCELLENT,,
402,40,33,,12,,MALE,,,GOOD,,
403,,49,,14,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
404,35,25,,14,18,MALE,PRETTY HAPPY,,,,
405,40,22,,11,11,MALE,VERY HAPPY,,FAIR,,
406,,51,,16,14,MALE,NOT TOO HAPPY,,GOOD,,
407,37,51,,16,20,FEMALE,PRETTY HAPPY,,GOOD,,
408,40,57,,14,12,MALE,NOT TOO HAPPY,,EXCELLENT,,
409,,30,,15,18,FEMALE,PRETTY HAPPY,,,,
410,40,40,,14,16,FEMALE,PRETTY HAPPY,,GOOD,,
411,40,59,40,16,,MALE,,,EXCELLENT,,
412,42,34,,13,8,FEMALE,VERY HAPPY,PRETTY HAPPY,EXCELLENT,,
413,47,48,,15,16,FEMALE,PRETTY HAPPY,,,,
414,55,54,55,18,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,EXCELLENT,,
415,50,30,40,14,,MALE,,,FAIR,,
416,40,74,2,17,17,MALE,VERY HAPPY,VERY HAPPY,,,
417,,66,55,16,15,FEMALE,VERY HAPPY,VERY HAPPY,,,
418,32,49,,10,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
